과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
업무가 100배 빨라지는 엑셀 데이터 활용과 분석 노하우,본 과정은 엑셀의 기능을 설명하는 교육이 아니라 실제 업무 현장에서 사용되는 엑셀 예제를 이용하여 각 상황별로 어떠한 기능을 접목해야 가장 빠르고 효율적으로 업무를 수행할 수 있는지를 학습하는 과정입니다.,없음,없음,"₩44,000",없음
데이터 분석 SQL Fundamentals,"SQL의 핵심 요소에 대한 상세한 강의와 실습을 통해, 여러분이 SQL 분석 전문가로 성장할 수 있도록 흔들리지 않는 뼈대를 만들어 드리겠습니다.",없음,없음,"₩55,000",없음
"시작하는 PM/PO들에게 알려주고 싶은, 프로덕트의 모든 것",좋은 사수가 없어서 고군분투하는 주니어 PM/PO들에게 알려주고 싶은 것들을 꾹꾹 눌러 담았습니다. 일 잘하는 PM/PO들이 사용하는 각종 기법과 멘탈 모델(Mental Models)을 아낌없이 알려드립니다.,없음,없음,"₩165,000",없음
SQLD 실전문제 풀이(2과목),국가 공인 SQL 자격을 위한 시험의 길잡이! SQL과 관련한 전반적인 지식 쳬계를 수립해보세요.,없음,없음,"₩121,000",없음
실무자를 위한 구글애널리틱스(GA4+GTM) 활용법(24년 Update),구글 애널리틱스 입문자를 위한 구체적이고 실용적인 강의입니다. 단편적인 기능보다 시나리오를 기반으로 한 분석을 진행하면서 GA4를 활용한 실질적인 분석 과정을 학습할 수 있습니다. GA4 최신 수정사항에 맞춰서 계속 업데이트 중입니다!,오늘까지,12%,"₩73,700","₩84,700"
PM을 위한 데이터 리터러시(프로덕트 데이터 분석),"데이터를 활용하고 싶은 PM 분들을 위한 강의입니다. PM 직무에서 데이터를 활용하는 모든 과정이 포함된 강의로 이직 1일차의 삶부터 프로젝트 시작과 종료까지 업무의 흐름을 모두 담았습니다. 데이터 기반 사고부터 논리적 사고, 지표 정의, 로그 설계, 실험 설계, 데이터 문화 만들기 등을 모두 다루며 생각하는 힘을 키우기 위한 데이터 입문 강의입니다.

PM을 위한 강의로 만들었지만 데이터 분석가도 보면 좋을 내용으로 구성했습니다(실제로 많은 분석가분들이 수강해주셨어요)",없음,없음,"₩132,000",없음
AB 테스트 실무자 완벽 가이드,"AB Test의 인기와 관심이 폭발적으로 커지는 만큼, 국내 최초 AB Test강의를 지금 바로 알려드릴게요!",없음,없음,"₩49,500",없음
쉽고 빠르게 익히는 Power BI (기본편),Microsoft 사의 데이터 분석 및 시각화 도구인 Power BI를 사용하여 데이터를 효과적으로 분석하고 시각화 하는 방법을 이해합니다.,없음,없음,"₩99,000",없음
카프카 완벽 가이드 - 커넥트(Connect) 편,카프카 커넥트(Kafka Connect)에 대한 깊이 있는 이론 설명과 현업에서 바로 사용될 수 있는 수준의 상세한 실습을 통해 여러분을 현장에서 필요로 하는 카프카 커넥트 기반의 데이터 연동 및 데이터 파이프라인 구축 전문가로 성장시켜 드릴 것입니다.,없음,없음,"₩99,000",없음
ElasticSearch Essential,"ElasticSearch 클러스터를 운영하기 위해 꼭 알아야 할 내부 동작에 대한 이해, 모니터링하는 방법, 사례를 기반으로 한 트러블 슈팅 방법을 알려주는 강의입니다. 이 강의를 통해 ElasticSearch 클러스터를 더 안정적으로 운영할 수 있습니다.",없음,없음,"₩33,000",없음
"[아파치 카프카 애플리케이션 프로그래밍] 개념부터 컨슈머, 프로듀서, 커넥트, 스트림즈까지!",실전 환경에서 사용하는 아파치 카프카 애플리케이션 프로그래밍 지식들을 모았습니다! 데이터 파이프라인을 구축하는데 핵심이 되는 아파치 카프카의 각종 기능들을 살펴보고 실습하는 시간을 가집니다.,없음,없음,"₩165,000",없음
구글태그매니저로 데이터 설계&수집하기,구글태그매니저를 통해서 고객의 행동 데이터를 수집하여 활용할 수 있는 실무역량을 기를 수 있어요.,없음,없음,"₩75,900",없음
15일간의 빅데이터 파일럿 프로젝트,"""빅데이터+AI 풀스택 개발"" - AI에 생명력을 불어 넣는 빅데이터 구축 과정을 파일럿 프로젝트 형식으로 진행합니다.
요구사항을 파악해 단계별로 플랫폼을 구성하고, 스마트카 데이터 탐색과 분석을 수행 합니다.",없음,없음,"₩132,000",없음
파이썬 중급,"중급 Python 과정은 함수형 프로그래밍, 메타 프로그래밍, 예외 처리 및 객체 지향 프로그래밍과 같은 고급 주제를 다루면서 Python에 대한 이해를 심화하도록 설계되었습니다.",없음,없음,"₩99,000",없음
AI 웹 프로그래밍 (Streamlit),AI 데이터 분석 및 모델링 결과를 Web Program 으로 만들어 보세요.,없음,없음,"₩44,000",없음
"파이썬 셀레니움 고급편 (python selenium - 크롤링, 크롤러)","대형 플랫폼에서 차단당하지 않는 셀레니움 고급 강의
사람처럼 움직이는 봇 개발",없음,없음,"₩297,000",없음
"MongoDB를 활용하여, 200억건 이상의 데이터 파이프라인 작성법",MongoDB를 사용하여 대용량 데이터에 대한 쿼리를 작성하는 방법을 학습하시게 됩니다.,없음,없음,"₩36,300",없음
비전공자를 위한 수학 통계 기초(이론),본 과정은 파이썬을 이용한 머신러닝 수학 및 통계의 기본 내용을 실습하는 과정입니다. 기계 학습과 딥러닝은 프로그래밍 역량도 필요하지만 원리를 파악히기 위해서 수학적 배경을 필요로 합니다. 본 과정을 통해 인공지능에 필요한 기초 수학을 차근차근 익힐 수 있습니다!,없음,없음,"₩33,000",없음
시작하는 마케터를 위한 디지털마케팅 펀더멘탈 D.I.M.A,"디지털마케팅 기초/입문 강의입니다. 데이터를 기반으로 디지털마케팅을 설계하는 방법과 다양한 실무 사례를 다룹니다. 14년 동안 디지털마케팅 에이전시부터 인하우스마케터까지 다양한 분야의 마케팅을 경험했던 이야기, 알려주고 싶은 내용을  담았습니다. 디지털마케팅 전반을 이해하고 싶으신 분들에게 추천합니다.",없음,없음,"₩88,000",없음
스트림릿(Streamlit)을 활용한 파이썬 웹앱 제작하기,Streamlit을 활용해 빠르고 쉽게  나만의 데이터 분석 앱을 구축하고 공유해 보세요!,없음,없음,"₩11,000",없음
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,"치지직, 아프리카TV 등 stateful 서비스에 대해서 어떻게 서버를 구축하고, 무중단 배포가 진행이 되는지 모든것을 알려드립니다.",없음,없음,"₩47,300",없음
실리콘밸리 엔지니어와 함께하는 Elasticsearch,"빠르게 성장하는 IT 현장에서 데이터 검색과 분석의 핵심 기술, 일라스틱서치를 배워보세요! 실무에 바로 적용할 수 있는 실습과 함께, 복잡한 검색을 단순하게 해결하는 법을 알려드립니다. 디지털 역량을 한 단계 업그레이드할 준비 되셨나요?",없음,없음,"₩44,000",없음
LLM 데이터 분석 - 웹 크롤링부터 추천 시스템까지,"초급자를 위한 쉬운 설명과 다양한 실습 프로젝트 중심으로 구성된 강의입니다. 웹 크롤링과 LangChain 도구로 데이터를 수집하고, LLM 활용하여 요약, 추출, 감성 분석, 추천 시스템을 다룹니다.",없음,없음,"₩66,000",없음
평생 써먹는 데이터 기반 투자법 with 파이썬 퀀트 투자,"파이썬 퀀트 투자와 함께 데이터를 기반으로 투자 전략을 세우고 전략에 따른 투자를 해보세요. 다양한 자산 배분 전략을 구현하고, 최종적으로 자신만의 투자 전략을 만들어 볼 수 있습니다.",없음,없음,"₩66,000",없음
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],"강사가 처음 머신러닝을 익혔을 때, 실패했던 경험을 바탕으로, 쉽게 머신러닝을 이해하고, 실제 문제에 적용할 수 있도록 기존 강의와 다르게, 새롭게 꾸민 강의입니다",없음,없음,"₩77,000",없음
(2024년) 파이썬 알고리즘 트레이딩 파트1: 알고리즘 트레이딩을 위한 파이썬 데이터 분석,S&P 500 페어 트레이딩의 통계적 접근법을 파이썬으로 체계적으로 학습하실 수 있습니다. 전문적인 데이터 분석을 통해 감정을 배제한 투자 전략의 기초를 마련하세요.,없음,없음,"₩55,000",없음
[Data Driven UX] 근거있고 빠른 의사결정을 위한  데이터분석과 프로토타입 제작,데이터를 기반으로 사용자 경험에 있어서 문제를 정의하고 액션 아이템을 도출은 물론 프로토타입으로까지 만들어 볼 수 있는 강의 입니다.,없음,없음,"₩110,000",없음
모두를 위한 ChatGPT Part 2 - ChatGPT를 이용한 데이터분석과 판다스 활용,ChatGPT를 이용한 데이터 분석과 판다스 활용 방법을 학습할 수 있는 강의입니다. ChatGPT가 만들 변화된 미래를 미리 경험해보세요.,없음,없음,"₩44,000",없음
실리콘밸리 엔지니어와 함께하는 랭체인(LangChain),"Langchain 온라인 강의를 통해 최신 대용량 자연어 처리 기술(LLM)의 선구자가 되세요! 이 강의는 여러분의 커리어를 한 단계 업그레이드할 실용적인 스킬과 혁신적인 지식을 제공합니다.
* 2024년 2월 28일자 최신 버전(0.1.9)으로 모든 수강 코드를 업데이트 완료했습니다.",없음,없음,"₩44,000",없음
스포티파이 데이터직군은 무슨 일을 하나요?,지식공유자 김나헌님과 함께한 데이터직군을 위한 라이브 밋업 영상 입니다 :),없음,없음,없음,없음
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",없음,없음,"₩77,000",없음
비전공자를 위한 수학 통계 기초(실습),본 과정은 파이썬을 이용한 머신러닝 수학 및 통계의 기본 내용을 실습하는 과정입니다. 기계 학습과 딥러닝은 프로그래밍 역량도 필요하지만 원리를 파악히기 위해서 수학적 배경을 필요로 합니다. 본 과정을 통해 인공지능에 필요한 기초 수학을 차근차근 익힐 수 있습니다.,없음,없음,"₩33,000",없음
데이터 분석가 채용의 모든 것: 이력서부터 면접까지 [월간 데이터리안 세미나 다시보기 | 2022년 8월],"데이터 분석가 취업을 위해 이력서는 어떻게 작성해야 할지, 면접은 어떻게 준비해야 할지 고민 중이신가요? 데이터 분석가 채용의 모든 것을 이번 세미나에서 알아가실 수 있어요!",없음,없음,"₩11,000",없음
내 가치를 높이는 노션 이력서 만들기,"노션으로 이력서 만들기 어렵지 않아요. 친절한 가이드와 함께 앉은 자리에서 끝까지, 완성할 수 있는 이력서 만들기!",없음,없음,"₩49,500",없음
모두를 위한 대규모 언어 모델 LLM Part 4 - AI 고객센터 챗봇(AICC)을 만들며 배우는 RAG 구현,AI 고객센터 챗봇(AICC)을 만들면서 실용적인 RAG(Retrieval-Augmented Generation) 시스템을 만드는 방법을 학습하는 강의입니다.,없음,없음,"₩77,000",없음
AI 시대에서 필요한 컴퓨팅 사고 방식 이해하기,컴퓨팅 사고는 컴퓨터 전공자만 배우는 것이 아닙니다. 어떤 직업이든지 해결해야 하는 문제가 있고 이 문제를 해결하는데 컴퓨팅 사고를 사용할 수 있는 것입니다.,없음,없음,"₩55,000",없음
[데이터 인문학] 데이터로 사고하라,"국내 1호 데이터 인문학자 신도용 강사의 누구나 쉽게 시작하는 데이터 입문 강의!
방대한 양의 데이터를 제대로 읽고 제대로 활용할 수 있는 데이터 기반 사고를 갖춰 보아요!",없음,없음,"₩110,000",없음
이공계열 전공자를 위한 컴퓨팅사고와 인공지능,"논리적 사고 능력을 향상시키며, 프로그래밍을 위한 도구 사용법을 이해하고 문제해결을 위한 알고리즘을 설계할 수 있는 역량을 배양합니다.",없음,없음,없음,없음
디지털 리터러시의 이해,"데이터를 '적절하게' 그리고 '공정하게' 다루는 기술로 데이터를 수집하고, 분석하고 의사소통을 위해 전달해보자!",없음,없음,없음,없음
인문사회예체능계열 전공자를 위한 컴퓨팅사고와 인공지능,"논리적 사고 능력을 향상시키며, 4차 산업혁명시대에 자신의 전공과 정보통신기술을 융합할 수 있는 역량을 배양합니다.",없음,없음,없음,없음
지금 바로 D3.js 시작하기 : 웹 데이터 시각화,"🤔 D3를 공부하고 싶지만 너무 어려워 고민하셨나요??

지금 바로! 이 강의로 D3에 대한 기본 개념과 활용법을 익혀 쉽고 빠르게 나만의 시각화 결과물을 만들어보세요",오늘까지,30%,"₩23,100","₩33,000"
"SQL Server 컨설턴트가 알려주는, 쿼리 능력 레벨업(고급 T-SQL 쿼리)","SQL Server 전문 컨설턴트이자 Microsoft MVP로부터 실무에서 가장 많이 그리고 중요하게 사용되는 고급 T-SQL 쿼리 사용법을 배우는 과정입니다, SQL을 보다 SQL답게 작성할 수 있습니다.",없음,없음,"₩165,000",없음
Python 엑셀 프로그래밍 - with xlsxwriter,xlsxwriter 튜토리얼로 배우는 Python 엑셀 프로그래밍의 기초 강좌입니다. Python과 엑셀을 사용하여 데이터를 분석하고 업무를 자동화 할 수 있습니다.,없음,없음,"₩55,000",없음
"내 업무를 대신 할 파이썬(Python) 웹크롤링 & 자동화 (feat. 주식, 부동산 데이터 / 인스타그램)","본 수업에서는 파이썬(Python)을 활용하여, 다양하게 동작하는 사이트로부터 데이터를 가져오고(크롤링) 처리하는 테크닉에 대해서 배우고, 이를 응용하여 실전에서 마주할 수 있는 다양한 예제들에 직접 적용해봅니다. 이를 통해 주어진 코드를 복사해서 붙여넣는 방식의 일차원적인 업무 자동화가 아닌, 웹이 작동하는 기본 원리에 대한 이해를 바탕으로 한 실전 문제 해결 위주의 기술들에 대해서 익히고, 이에 따라 여러분들은 앞으로 어떤 사이트에서도 데이터를 수집하고 처리할 수 있는 역량을 가질 수 있습니다. 또한 이 과정에서 발생하는 다양한 예외상황들을 어떻게 코드로써 해결하는지에 대한 내용을 배우며 최종적으로는 일상에서 발생하는 다양한 문제들을 프로그래밍적 사고로 해결하고 자동화 할 수 있게 됩니다.",없음,없음,"₩60,500",없음
파이썬(Python)으로 데이터 기반 주식 퀀트 투자하기 Part1,"본 수업에서는 파이썬(Python)의 판다스(Pandas) 라이브러리를 활용하여 다양한 형태의 금융데이터를 분석하고 처리하는 원리와 방법에 대해 배우고, 이를 실전에서 마주할 수 있는 상황에 적용해보며 최종적으로는 재무제표 데이터에 기반한 백테스팅(backtesting)을 구현하는 법(강환국님 '할 수 있다 퀀트 투자' 책 기반)에 대해서 알아봅니다. 결과적으로 여러분들은 투자 논리에 대한 검증이나 근거 없이, 단순히 남이 좋다는 것만 따라하는 '수동적인 투자자'에서 벗어나, 전략 구현에 필요한 다양한 요소들을 파이썬(Python)과 판다스(Pandas)로 활용하여 데이터로부터 자유자재로 추출하여 정량적으로 분석할 수 있는 '자기 주도적이면서 능동적인 투자자'가 될 수 있습니다.",없음,없음,"₩99,000",없음
[개념부터 실습까지] 추천 시스템 입문편,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 추천 시스템 입문 강의. 
추천 시스템의 기초 이론을 배우고, 영화 데이터 분석을 함께 실습해 봅니다.",없음,없음,"₩49,500",없음
"디지털 리터러시, 디지털 기술을 이해하고 실무에 적용하는 기술","급변하는 디지털 시대에서 살아남는 경쟁력, 디지털 리터러시! 디지털 환경의 기술 구조 이해를 기반으로 일상에 가득 찬 정보들을 내 것으로 만들어보세요.",없음,없음,"₩99,000",없음
남박사의 파이썬 기초부터 실전 100% 활용,프로그래밍을 접해보지 않은 초보 분들이나 파이썬에 대해 어느 정도 이론 지식이 있는 분들 모두를 대상으로 하며 실제 프로젝트를 기반으로 강좌의 주 목적은 파이썬에 대한 관심과 재미를 느끼는 것을 추구 합니다. 이 강좌를 통해 파이썬으로 보다 많은 아이디어와 보다 많은 재미를 얻으시길 바랍니다.,없음,없음,"₩66,000",없음
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,"AI 기업리뷰를 통해 AI 기술이 우리의 현재와 미래를 어떻게 바꿔나갈지를 다양한 사례를 통해 살펴봅니다. 
AI 프로젝트를 진행하기 위해 필요한 요소들을 살펴봄으로써 다가올 AI Transformation을 준비합니다.",없음,없음,"₩33,000",없음
파이썬 무료 강의 (활용편6) - 이미지 처리 (OpenCV),"파이썬을 활용하여 컴퓨터 비전 및 이미지 처리의 최강자인 OpenCV 라이브러리의 사용법을 익히고, 다양한 재미있는 프로젝트를 통해 실생활에 이미지 처리를 응용하는 방법을 공부합니다.",없음,없음,없음,없음
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,"Data Science(DS)와 Artificial Intelligence(AI) 관련 직군 분석과
관련 직군으로 커리어를 쌓아나가기 위한 학습 및 취업 로드맵을 배워보세요.",없음,없음,"₩29,700",없음
아두이노를 이용한 기상정보 수집과 빅데이터 분석,아두이노와 풍력센서를 이용하여 데이터를 수집하고 빅데이터를 분석하는 실전 프로젝트 강의입니다.,없음,없음,없음,없음
GCP 빅쿼리(BigQuery) 입문자를 위한 강의,"GCP에서 제공하는 정형화(Structured), 비정형화(Unstructured) 데이터 둘 다 편리하게 다룰 수 있고 자유로운 테이블 포맷을 허용하는 컬럼 지향 스토리지(Columnar Storage), 만능형 데이터베이스 BigQuery를 함께 배워봐요.",없음,24%,"₩33,830","₩45,100"
QGIS 입문자 올인원 스타터팩 (이론/실습형),"QGIS 활용을 위한 분석 기초부터 심화기능, 시각화 소개까지 모두 다루는 이론-실습형 강의입니다. 
지금까지 없던 올인원 강의 수강으로 QGIS를 시작해보세요!!",없음,24%,"₩111,380","₩148,500"
면접으로 직행하는 데이터 분석가 이력서 [월간 데이터리안 세미나 다시보기 | 2022년 2월],데이터 분석가가 구직할 때 썼던 이력서 직접 본 적 있으세요? 비전공자로 취뽀한 분석가들이 알려주는 이력서 작성 팁! 여기 다 있습니다.,없음,없음,"₩11,000",없음
AI시대 데이터 직군을 위한 생존 전략,1세대 데이터분석가로서 많은 인사이트와 성공을 보여준 데이터오븐 CEO 하용호님에게 인사이트를 얻어보세요. 2024년 7월 18일 진행한 데이터 직군을 위한 밋업 영상입니다.,없음,없음,없음,없음
초보자를 위한 쉬운 파이썬 기초와 데이터 분석,데이터 분석에 필요한 파이썬 기본적인 내용과 데이터 분석 프레임워크인(pandas) 그리고 데이터 분석 과정에 대해서 알아봅니다.,없음,없음,"₩55,000",없음
"파이썬입문과 크롤링기초 부트캠프 [파이썬, 웹, 데이터 이해 기본까지] (업데이트)","데이터 과학, 빅데이터, 크롤링을 익히고자 하시는 분들을 위해, 
(1) 짧은 시간안에 가장 필요한 파이썬 핵심 문법을 정리하고, (2) 실전 크롤링 프로그래밍을 통해 파이썬과 크롤링에 익숙해집니다.",없음,없음,"₩66,000",없음
태블로를 향한 첫 걸음,"태블로 자격증에 나오는 내용을 훑으면서, 짧은 시간 안에 태블로의 전반적인 기능에 대해서 파악할 수 있습니다.",없음,없음,"₩55,000",없음
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)","Google Analytics 4, Firebase 데이터의 형태의 앱 로그 분석을 진행합니다. 배열, 윈도우 함수, 퍼널, 리텐션, Google Sheets 등 실무에서 사용할 때 유용한 내용들을 담았습니다.",없음,없음,"₩99,000",없음
실리콘밸리 엔지니어와 함께하는 데이터 사이언스 기초편,"데이터로 세상을 읽는 법: 당신만의 데이터 과학을 탐험하세요!
현대 데이터 과학의 핵심을 이루는 도구와 기술을 깊이 있고 실용적으로 탐구합니다. 특히, 데이터 과학의 필수 요소인 Anaconda, Numpy, Pandas, 그리고 Scikit-learn을 사용하여 데이터를 분석하고 알고리즘을 구현하는 방법을 배웁니다.",없음,없음,"₩22,000",없음
데이터 분석을 위한 파이썬: 입문부터 꿀팁까지,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 파이썬 기초 강의. 비전공자 분들도 쉽게 학습하실 수 있도록 프로그램 설치 등 군더더기를 과감하게 생략하고 파이썬의 핵심만 가르칩니다. 데이터 분석을 목적으로 파이썬 학습을 하시는 분들에게 최적의 강의입니다.",없음,없음,"₩38,500",없음
"실무 활용 엑셀: 수식, 파워 쿼리, DAX로 데이터 분석과 대시보드 만들기","이 강의에서는 Excel의 기본 기능부터 고급 수식, 데이터 시각화, 대시보드 제작까지 폭넓은 내용을 실습 위주로 배울 수 있습니다. 템플릿과 해법 파일을 제공하여 자가 학습이 가능하며, 실무에서 즉시 활용할 수 있는 데이터 분석 기술을 마스터하여 업무 효율성을 극대화할 수 있습니다.",없음,없음,"₩50,600",없음
[멘토링] 데이터로 미래를 그리다: 모두를 위한 데이터 리터러시,데이터에 관심있는 개인이나 리더를 대상으로 데이터 팀이 하는 일을 소개하고 조직의 데이터 활용 능력을 나타내는 데이터 문해력이 어떤 것인지 소개합니다.,없음,없음,"₩264,000",없음
스파크 머신러닝 완벽 가이드 - Part 1,"스파크(Spark) 머신러닝의 핵심 Framework에 대한 이해,  난이도 높은 실전 문제를 통한 SQL 기반의 데이터 가공,  업무 도메인 분석을 통한 데이터 분석과 최적화된 머신러닝 모델 구현 능력까지, 대용량 데이터 기반에서 머신러닝 전문가로 인정 받고 싶다면 이 강의와 함께 하십시요.",없음,없음,"₩99,000",없음
이커머스 데이터로 시작하는 SQL 데이터 분석,실무에서 가장 많이 쓰이는 이커머스 데이터로 문제 정의부터 같이 해보는 SQL 분석 기초 강의 입니다. 시각화가 필요한 실무자들을 위해 대시보드 실습까지 준비했습니다. 빅쿼리는 표준 SQL에 가까워 다른 환경에서도 충분히 응용할 수 있습니다. 설치가 필요 없다는 간편함은 덤이에요!,없음,없음,"₩33,000",없음
빅분기 실기! 최신 기출 풀이로 한 방에 합격하기(파이썬),"많은 응시자가 기출 문제를 풀어보고 싶어합니다. 왜 그럴까요? 
왜냐하면, 출제자가 기출 문제를 참고하기 때문이죠. 
최신 기출 풀이, 합격의 지름길입니다.",없음,30%,"₩23,100","₩33,000"
실리콘밸리 엔지니어와 함께하는 Scala,"Scala 강의는 빅데이터와 데이터 사이언스 분야에서 활동하는 전문가들에게 꼭 필요한 기술과 지식을 제공하며, Scala의 강력한 프로그래밍 언어 기능을 통해 효율적인 데이터 처리와 분석 방법을 배울 수 있는 탁월한 기회를 제공합니다. Scala는 아파치 스파크와 같은 빅데이터 처리 도구에서 널리 사용되고 있으며, 이 강의를 통해 참가자들은 빅데이터 생태계에서 요구되는 고급 기술을 습득하여 자신의 경쟁력을 한 단계 높일 수 있을 것입니다. 데이터 중심의 세계에서 성공적인 커리어를 구축하고 싶은 개발자와 데이터 과학자들에게 이 강의는 놓쳐서는 안 될 중요한 학습 기회가 될 것입니다.",없음,없음,"₩44,000",없음
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 2,"파이썬(Python)을 활용해 실전 투자에 도움이 될만한 도구를 만들고 싶으신가요? 이 강의에서는 파이썬 중급자를 대상으로 금융데이터 분석을 위한 인터랙티브 웹 대시보드를 만들어 보며, 심도있는 계량화 작업을 위한 페어 트레이딩 전략에 대해 학습해 봅니다. 여러분들만의 유용한 분석도구를 만들어 금융데이터를 더욱 강력하게 분석하고, 현명한 투자 결정을 내리는데 도움이 되기를 바라겠습니다.",없음,없음,"₩99,000",없음
중고급 SQL과 실전 데이터 분석 101 문제 풀이 [데이터분석/과학 Part1],"중고급 SQL을 익히고, 현업 수준의 실전 데이터 분석 문제 101 가지를 함께 풀며, 탄탄한 SQL 데이터 분석 역량을 다집니다.",없음,없음,"₩55,000",없음
ADsP 2주 합격 올인원 패스,"국가공인 데이터분석 준전문가 자격 검정을 2주 안에 마스터! 데이터에 관한 핵심 이론과 배경 지을 습득하고, 통계 전문 분석 도구인 R을 활용한 데이터 분석에 관한 심화된 지식까지 학습해 보세요.",없음,없음,"₩119,900",없음
카프카 완벽 가이드 - 코어편,"카프카(Kafka)의 핵심부터 내부 메커니즘에 대한 심화 수준의 내용까지, 상세한 이론 설명과 핸즈온 실습 & 실전 카프카 애플리케이션 개발 실습을 통해 카프카를 시작하는 사람도 단숨에 전문가 레벨로 도달할 수 있도록 강의를 구성했습니다.",없음,없음,"₩99,000",없음
꼭 필요한 엑셀 5시간으로 끝내기와 3시간으로 ITQ엑셀 자격증취득,"엑셀(Excel)을 어려워하시는 분들에게 꼭 알아야 할 핵심만을 최단 시간에 전달합니다. 그리고, 자격증 취득까지 1석2조의 효과. 이 기회에 엑셀실무와 자격증의 기회를 잡으세요. 엑셀이란 프로그램은 다른 OA 프로그램과 다르게 기능이나 활용 측면에서 복잡한 부분이 많습니다. 오랜 시간 강의를 하며 쌓아온 노하우를 바탕으로 엑셀의 핵심만을 다루고 있습니다. 실무활용과 관련하여, 단시간에 엑셀 실무 능력 향상과 함께 실무에서 활용성이 높은 ITQ엑셀 자격증 취득까지 한번에 할수있습니다.",없음,없음,"₩19,800",없음
처음하는 MongoDB(몽고DB) 와 NoSQL(빅데이터) 데이터베이스 부트캠프 [입문부터 활용까지] (업데이트),"최신 스타트업에서 활용하는 풀스택과 데이터과학 기술의 기본 기술 중 하나인 빅데이터를 다룰 수 있는 NoSQL 기술을 익힙니다. 몽고DB는 NoSQL 중에서도 가장 쉬우면서 빠르게 활용할 수 있는 기술입니다. 본 강의에서는 짧은 시간 안에 몽고DB 기초를 익히고, 파이썬으로 몽고DB를 다루고 활용할 수 있는 기술까지 학습해 봅니다.",없음,없음,"₩66,000",없음
Open API 사용 with 파이썬,Open API와 파이썬을 활용하여 업무 효율성을 향상시키는 데 필요한 기술과 노하우를 학습할 수 있습니다.,7일만,25%,"₩49,500","₩66,000"
