과목명,강의 내용,원래 가격
"[아파치 카프카 애플리케이션 프로그래밍] 개념부터 컨슈머, 프로듀서, 커넥트, 스트림즈까지!",실전 환경에서 사용하는 아파치 카프카 애플리케이션 프로그래밍 지식들을 모았습니다! 데이터 파이프라인을 구축하는데 핵심이 되는 아파치 카프카의 각종 기능들을 살펴보고 실습하는 시간을 가집니다.,무료
초보자를 위한 Git 필수 강의,DevOps 전문 기업 (주)투씨드의 컨설팅/교육/구축 경험을 여러분과 함께하기 위해 Git Runbook에 대한 강의를 소개합니다. Git의 구조부터 기본 활용 방법 및 활용 전략에 이르는 전반적인 내용을 설명합니다.,무료
실리콘밸리 엔지니어와 함께하는 Apache Airflow,소프트웨어 데이터 파이프라인을 만들 때 가장 많이 사용하는 Orchestrator(오케스트레이터)인 Apache Airflow(아파치 에어플로우)를 배우실 수 있습니다.,무료
20년 경력자의 알기쉬운 컴퓨터네트워크,컴퓨터 네트워크의 이론을 학습합니다. 시뮬레이션 프로그램을 사용하여 네트워크를 직접 구성해봄으로써 네트워크에 대해서 확실하게 공부해보세요.  설명이 잘 되어 있는 강의 자료를 제공합니다.,무료
실리콘밸리 엔지니어와 함께하는 Redis,"Redis는 빠르고 확장 가능한 오픈 소스 데이터베이스입니다. 이 기술은 실시간 애플리케이션, 게임, 소셜 미디어 플랫폼 등에서 성능을 극대화하는 데 사용됩니다. 그러나 Redis의 실제 힘을 이해하고 효과적으로 활용하기 위해서는 깊은 이해가 필요합니다.
이제 Redis에 대해 전문적으로 배울 수 있는 기회가 왔습니다. ""실리콘밸리 엔지니어와 함께하는 Redis""에서는 Redis의 핵심 개념부터 고급 기능까지를 폭넓게 다룹니다. 이 강의는 Redis를 처음 사용하는 초보자부터 고급 사용자까지 모두를 위한 것입니다.",무료
평범한 회사원도 단숨에 이해하는 필수 개발환경 가이드,"평범한 회사원도 쉽게 이해할 수 있는 개발환경 설정을 처음부터 배웁니다. 실습 중심으로 진행되며, 수강생들이 직접 Vim, VS Code, Git, Docker, 원격 개발 등 다양한 개발 도구를 익히는 데 초점을 맞추고 있습니다. 각 개발 도구의 기본 사용법부터 고급 기능까지 단계별로 학습하여, 효율적인 개발환경을 구축하는 방법을 습득할 수 있습니다.",무료
누구나 시작할 수 있는 네트워크 Step 1 (네트워크 모델),"네트워크의 니은자도 몰라도 배울 수 있는 네트워크 기초 강의의 첫번째 스텝 ""네트워크 모델"" 편입니다.",무료
커뮤니티에서 바로 써먹는 슬랙 봇 만들기,"슬랙 기반의 커뮤니티를 참여하거나 운영하고 계신가요? 
반복되고 비효율적인 작업으로 불편을 겪고 계신가요? 
이 강의를 통해 바로 써먹을 수 있는 슬랙 봇을 만들어보세요!",무료
LLM Application 개발 경험 공유회,LLM Application 개발을 위한 기본 배경지식과 개발 경험을 공유합니다.,무료
Python을 활용한 AWS FinOps 어플리케이션 제작,"Python을 활용하여 AWS FinOps 어플리케이션을 만들며, 어떻게 구조화를 하고, 왜 코드가 점점 어려워지는지 알아봅니다. 마지막엔 메타인지(?) 과정을 소소하게 즐기며 진행해봅니다.",무료
시스템엔지니어가 알려주는 리눅스 기초편 Bash Shell Script,"전 세계에서 서버로 가장 많이 사용하는 운영체제인 리눅스(Linux)
그 리눅스를 자유자재로 다루기 위한 첫걸음인 CLI(Command Line Interface)기본 명령어와 그 명령어의 조합으로 만드는 쉘 스크립트에 대한 이야기입니다.
이 강의는 리눅스에 관심이 있는 분이라면 처음에 누구나 가져봤을 의문과 고민을 해결해 드립니다.",무료
보안 전문가를 위한 파워쉘,파워쉘을 자신의 분야에 활용해 업무 능력을 향상 시킬 수 있도록 도와주는 강좌입니다.,무료
작정하고 장고! Django로 Pinterest 따라만들기 : 바닥부터 배포까지,Python의 대표 웹 프레임워크 django를 이용해 Pinterest 특유의 카드형 레이아웃 디자인을 본딴 웹서비스 구현해봅니다.,무료
"이미지 관리 풀스택(feat. Node.js, React, MongoDB, AWS)",‘이미지와 같은 파일들을 어디에 어떻게 저장해야 되지? 데이터베이스에 저장? 아니면 서버 하드디스크? 어떻게 하면 서버 부하를 줄일 수 있을까? 어떻게 하면 버벅거림 없이 많은 이미지들을 빠르게 불러올 수 있을까? AWS S3? CDN?! 단순히 이미지를 저장하고 불러오고 싶은데 왜 이렇게 요소들이 많은 걸까? 어떤 요소들이 무슨 역할을 하고 어떻게 조합해야 될까?’ 이미지 파일 관련 필요한 요소들을 풀스택으로 처음부터 끝까지 정제해서 가르쳐드립니다 :),무료
C# 네트워크 프로그래밍,C# 언어에 대한 사항을 마치고 C#을 이용하여 컴퓨터 또는 각종 기기를 연결할 수 있는 네트워크에 대한 강의입니다.,무료
머신러닝 엔지니어 실무,"이 강의를 통해 머신러닝 프로젝트에서 겪게될 수 많은 시행착오를 줄일 수 있게 됩니다.
뤼이드의 머신러닝 파이프라인을 총책임지고 있는 제가 기본부터 잘 가르쳐드립니다.",무료
AWS로 구축하는 MSA와 컨테이너 오케스트레이션,"이 강의에서는 각각의 서비스를 다루는게 아닌, 예제 이커머스 서비스에 AWS 서비스들을 도입해 개선해나갑니다. 
이를 통해 클라우드에 안정적으로 배포하고 운영하는 경험을 직접 해볼 수 있습니다!",무료
DevOps를 위한 Docker 가상화 기술 (Private Harbor Registry),"본 강의는 Cloud Native Architecture를 구성하는 4가지 구성요소 중, 컨테이너 가상화 기술에 대해 학습하는 과정입니다. 
Microservice 애플리케이션을 배포하고 운영하기 위한 최선의 방법인 컨테이너 가상화라는 기술에 대한 기본적인 개념을 이해하고, 컨테이너 가상화 기술 중 가장 대중적으로 알려진 Docker 기술에 대해 다뤄보는 학습 과정입니다. MSA 형태로 개발 된 애플리케이션을 배포하고 운영하기 위해 필요한 필수적인 내용에 대해 이론 학습 뿐만 아니라, 관련된 실습 예제를 통해 실제 Docker 컨테이너가 어떻게 작동되는지에 대해 이해하실 수 있습니다. 
본 과정에서는 기존 다른 강의에서 다루지 않았던 Docker Security와 Logging 등과 같은 다양한 요소에 대해서도 학습할 수 있으며, 최종 실습 프로젝트에서는 Docker 기술과 연계될 수 있는 서비스(Harbor + Argocd)들을 구축하고 애플리케이션을 배포 함으로써 DevOps를 적용함에 있어 필요로 하는 핵심적인 운영 환경에 대해 실습해 볼 수 있습니다.","₩88,000"
"중급, 활용편 #1 DevOps : Infrastructure as Code with AWS and 테라폼","이 강의는 DevOps의 기본 이론과 함께 DevOps의 기본 중 하나인 Infrastructure as Code(IaC)에 대해 배울
수 있는 강의입니다. 본 강의를 통해 IT기반의 서비스를 DevOps관점에서 올바르게 이해하고, 서비스 운영을 위해 코드로 인프라를 정의하는 연습을 하실 수 있습니다.
강의를 마치게 되면, 서비스 운영을 위해 기본적으로 필요한 AWS 리소스를 Terraform이라는 도구를
통해 손쉽게 생성하고 관리하실 수 있습니다.
AWS는 반드시 코드로써 관리해야하기 때문에, AWS 의 기초 공부를 위해서도 해당강의는 필수입니다.",무료
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",무료
[2024 리뉴얼] 스스로 구축하는 AWS 클라우드 네트워크 - 기본편,"AWS의 주요 네트워크 서비스를 활용하여 간단한 클라우드 네트워크를 구축해보며 아키텍처에서의 트래픽 흐름을 이해하고, 실제 네트워크를 직접 구현할 수 있는 역량과 자신감을 함께 키워보도록 하겠습니다.",무료
Strapi로 코딩없이 나만의 API 서버 만들기,"나만의 백엔드 API 서버를, Node기반의 Strapi v4를 이용하여, 
몇 번의 클릭으로 별다른 코딩없이 만들어 AWS EC2에 배포
해보는 과정입니다.

Strapi v5도 거의 동일하게 적용이 가능합니다. 강의 A/S도 있으니 참고하세요~",무료
비전공자도 이해할 수 있는 CI/CD 입문·실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   CI/CD 입문 강의를 만들어봤습니다!","₩77,000"
실리콘밸리 엔지니어와 함께하는 리눅스 실전,"리눅스는 전 세계적으로 서버, 클라우드, 그리고 IoT 디바이스를 비롯한 다양한 플랫폼에서 널리 사용되는 운영 체제입니다. 여러분은 이 강의를 통해 리눅스의 깊은 이해를 바탕으로 IT 분야에서의 경쟁력을 한층 강화할 수 있습니다. 또한, 오픈 소스 기술에 대한 전문 지식을 습득함으로써 미래 기술 환경에 대비하고, 높은 수요의 직업 시장에서 두각을 나타낼 수 있습니다.",무료
실리콘밸리 엔지니어에게 배우는 쿠버네티스 for SWE,"실리콘밸리에서 가장 핫한 인프라스트럭쳐(Infrastructure), 쿠버네티스(Kubernetes)에 대한 전반적인 지식을 실무자에게 배울 수 있는 기회 절대 놓치지 마세요!",무료
[2024] [DevOps] 빠르고 안전한 어플리케이션 배포 파이프라인(CI/CD) 만들기,"빠르면 위험하고, 안전하면 느리다? 그렇지 않습니다. 빠르고 안전한 파이프라인 한 번 만들어 보시죠!",무료
스스로 구축하는 AWS 클라우드 인프라 - 기본편,"AWS의 가장 기본적이고 핵심적인 주요 서비스들의 세부 기능과 옵션을 살펴보고 해당 서비스들을 활용하여 클라우드 아키텍처를 단계적으로 구현함으로써, 인프라의 구조와 작동 원리를 이해하고 클라우드 인프라를 직접 구축할 수 있는 역량과 자신감을 함께 키워보도록 하겠습니다.",무료
"쿠버네티스 어나더 클래스 (지상편) - Sprint 1, 2","⚓쿠버네티스, 🙇‍♀️아직 망설이시나요? 🙋‍♂️저만 믿고 따라오세요! 당신의 실력을 ⭐어나더 레벨로 만들어 드리겠습니다.",무료
Jenkins를 이용한 CI/CD Pipeline 구축,"본 강의는 클라우드 네이티브 애플리케이션을 구성하는 4가지 핵심 요소(MSA, CI/CD, DevOps, Container) 중 하나인 CI(Continuous Integration, 지속적인 통합)과 CD(Continuous Deployment, 지속적인 배포) 파이프라인에 대한 다루는 강의입니다. 본 강의를 통해 CI/CD 도구인 Jenkins를 이용하여 로컬 환경과 클라우드 환경에 자신만의 자동화 파이프라인을 구축하고, 배포하는 데에 필요한 과정을 이해하고 실습해 볼 수 있습니다.","₩88,000"
Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),"Spring framework의 Spring Cloud 제품군을 이용하여 마이크로서비스 애플리케이션을 개발해 보는 과정입니다.  Cloud Native Application으로써의 Spring Cloud를 어떻게 사용하는지, 구성을 어떻게 하는지에 대해 배울 수 있는 강의입니다.","₩88,000"
대세는 쿠버네티스 [초급~중급],쿠버네티스는 앞으로 어플리케이션 배포/운영에 주류가 될 기술 입니다. 이 강좌를 통해 여러분도 대세에 쉽게 편승할 수 있게 됩니다.,무료
CloudNet@와 함께하는 AWS 네트워킹 입문,"AWS 클라우드 입문자를 대상으로, AWS 클라우드 네트워크 기초 지식을 따라하며 배우는 실습 기반의 입문 강의입니다.",무료
실전 대비! DevOps 인터뷰 완전 정복 - 기본편,"DevOps 인터뷰 준비: Git, Docker, CI/CD, Terraform, Ansible, Kubernetes, Monitoring 관련 인터뷰 준비를  마스터하세요.","₩42,900"
비전공자도 이해할 수 있는 Redis 입문/실전 (조회 성능 최적화편),"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 'Redis 입문/실전 (조회 성능 최적화편)' 강의를 만들어봤습니다!","₩77,000"
비전공자도 이해할 수 있는 Docker 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   Docker 입문/실전 강의를 만들어봤습니다!","₩77,000"
비전공자도 이해할 수 있는 AWS 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 AWS 입문 강의를 만들어봤습니다!","₩66,000"
실리콘밸리 엔지니어와 함께하는 아마존 웹서비스(Core)편,"시스템 디자인과 아키텍처 공부 어떻게 하실지 막막하신가요?
초보자부터 전문가까지 다양한 레벨의 학습자를 위한 아마존 웹 서비스(Amazon Web Service, AWS) 강의! AWS에서 가장 많이 사용하는 Core 서비스 부분을 집중적으로 다루었습니다.",무료
AWS(Amazon Web Service) 실전을 위한 강의,"AWS 입문자, 중/상급자를 위한 강의를 다 수강했음에도 아직 뭔가 부족하다고 느끼시나요? AWS 실전을 위한 강의가 바로 그런 분들을 위한 강의입니다.",무료
AWS(Amazon Web Service) 중/상급자를 위한 강의,AWS 입문자를 위한 강의를 마쳤지만 아직 2% 부족하다? AWS에 대해 많이 알고 있다고 생각했지만 아직 조금 더 다듬어야 할 부분이 있다? AWS 중/상급자를 위한 강의로 그 2%를 메꿔보자! Data Engineer Expert가 되는 그날까지!,무료
(2024년) 파이썬 알고리즘 트레이딩 파트3: 클라우드 거래 자동화,이 강의는 알고리즘 트레이딩을 로컬 컴퓨터와 클라우드 환경에서 자동화하는 과정을 다루며 실습을 중심으로 진행됩니다.,무료
시스템엔지니어 교과서,"시스템 엔지니어링의 기초부터 보안 설정까지, 이 강의가 여러분을 그 길로 안내합니다.",무료
애플리케이션 배포 자동화와 CI/CD,강의를 통해 애플리케이션 배포 자동화를 경험 할 수 있습니다. 프로젝트를 배포해보면서 젠킨스 사용 방법과 CI/CD에 대한 기본 지식도 얻어갈 수 있습니다!,무료
장애 없는 서비스를 만들기 위한 Resilience4j - CircuitBreaker,장애 없는 서비스를 만들기 위한 CircuitBreaker를 도입하기 위한 방법에 대해 쉽고 빠르게 알려드립니다.,무료
[2024] 처음 시작하는 도커와 컨테이너,도커? 절대 어렵지 않습니다. 짧고 굵게 핵심만 설명합니다. 빠르게 익히고 응용하며 이해 해봅니다!,무료
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,"AWS 제로트러스트의 근간을 이루고 있는 IAM에 대해 가장 기초적인 부분부터 세부적인 내용까지 배울 수 있습니다. 이를 통해 실제로 어떤 부분이 취약할 수 있는지, 어디를 더욱 신경써야 하는지 배울 수 있습니다.",무료
쿠버네티스 어나더 클래스 (지상편) - Sprint3,"⚓쿠버네티스, 🙇‍♀️아직 망설이시나요? 🙋‍♂️저만 믿고 따라오세요! 당신의 실력을 ⭐어나더 레벨로 만들어 드리겠습니다.",무료
대세는 쿠버네티스 [Helm편],쿠버네티스를 더 잘하고 싶다면 고민할 필요없이 배워야되는 필수 배포 기술입니다.,무료
AWS 콘솔로 배우는 AWS 기초 및 설명 그리고 고수가 되기 위한 준비,"이 강의를 통해 AWS의 여러 서비스들 중 가장 많이 쓰이는 서비스들을 직접 콘솔로 만들어보고, 각 의미에 대해서 이해할 수 있습니다.
더불어 진짜 실력있는 엔지니어가 되기위한 준비, 기본기에 대해서 충실히 설명했습니다. 탄탄한 뿌리를 만들 수 있다고 장담할 수 있습니다.",무료
초보자를 위한 IT 인프라의 이해,"혹시, IT 인프라(서버, 네트워크, 스토리지 등) 기술에 대해 이해를 못하여 여러움을 겪은 적은 없으신가요?
IT 인프라가 어떻게 구성되고 어떤 기술이 적용되었는지 이해하고 싶으신가요?
IT 인프라를 구성하는 다양한 기술에 대해서 설명하는 국내 유일의 강의입니다!",무료
개발자를 위한 쉬운 도커,"현업 개발자가 도커를 사용한 경험을 녹여낸 새로운 커리큘럼으로 기존 교재 및 강의와 차별된 강의를 제공합니다.
단순한 명령어 사용법이 아닌 도커를 왜 사용해야하는지 대한 근본적인 질문에서부터 출발합니다.",무료
리눅스 성능 분석 시작하기,"리눅스 서버의 성능 분석을 위해 필요한 기본 명령어들에 대한 이해, 네트워크 문제 해결을 위한 tcpdump 명령어의 사용 방법, 사례를 기반으로 한 트러블 슈팅 방법을 알려주는 강의 입니다. 이 강의를 통해 리눅스 서버에서 발생하는 다양한 성능 문제들을 해결할 수 있습니다.",무료
비전공자도 쉽게 구성하는 MSA 서비스 모니터링 대시보드,해당 강의에서는 OpenTracing을 활용하여 다양한 애플리케이션 간 분산 추적을 하는 방법에 대해서 학습 하시게 됩니다.,무료
실무에 바로 적용하는 AWS 배포,AWS로 서비스를 배포/운영하고싶은 분들을 위해 준비했습니다. 도메인 설정부터 도커와 서버리스까지!,무료
실리콘밸리 엔지니어와 함께하는 샐러리(Celery),"Python Celery를 통해 비동기 작업과 분산 시스템을 마스터하세요! 이론과 실습을 병행하며, 초보자부터 전문가까지 모두에게 필요한 핵심 기술과 최적화 전략을 배울 수 있습니다. 강의는 Celery의 설치, 설정, 작업 정의 및 모니터링에 이르기까지 다양한 주제를 다루며, 참가자들이 Python 기반의 비동기 작업 관리에 능숙해질 수 있도록 설계되었습니다",무료
실리콘밸리 엔지니어와 함께하는 Apache Airflow,소프트웨어 데이터 파이프라인을 만들 때 가장 많이 사용하는 Orchestrator(오케스트레이터)인 Apache Airflow(아파치 에어플로우)를 배우실 수 있습니다.,무료
실리콘밸리 엔지니어와 함께하는 앤서블(Ansible),"실리콘밸리 엔지니어에게 배우는 실용적인 Ansible(앤서블) 강의 입니다. Ansible은 자동화된 인프라 관리와 프로비저닝을 위해 필요한 강력한 도구로, 시간과 노력을 절약하고 일관된 환경을 구축할 수 있습니다.",무료
실리콘밸리 엔지니어와 함께하는 테라폼(Terraform),"""클라우드 인프라스트럭처 자동화(Infrastructure Automation)의 세계로 떠나보세요!"" 인프라스트럭처 자동화 도구, 테라폼은 클라우드 환경에서 리소스를 프로비저닝(Provisioning)하고 관리하는 데 사용됩니다. 이제 여러분도 클라우드 인프라스트럭처를 코드로 정의하고 자동화하여 신속하고 일관된 인프라 환경을 구성할 수 있습니다!",무료
초보를 위한 쿠버네티스 안내서,"쿠버네티스를 1도 모르는 입문자, 초보자를 위한 쿠버네티스 안내서 입니다. 초보자도 이해하기 쉬운 내용과 흐름으로 구성했어요.",무료
스타트업 성장과 함께하는 AWS 클라우드 아키텍쳐 올인원,3시간이 약간 넘는 짧은 시간 AWS에 대해 큰 흐름을 잡는 핵심만 녹였습니다. 우리가 스타트업을 창업하거나 AWS로 인프라를 관리하다 생기는 문제들을 실무 중심으로 해결해 나가는 과정을 통해 AWS의 다양한 기능들을 배우게 됩니다.,무료
입문자를 위한 Docker 및 Dockerizing 마스터하기,"Docker 및 Dockerizing에 필요한 Motivation, History, Structure, Life Cycle 등의 필수 이론들을 체계적으로 학습합니다. 무엇보다 탄탄한 3개 Hands-on 코드랩을 같이 진행해보면서 누구보다도 Docker에 대해 자신 있는 개발자가 될 것 입니다.",무료
"실습으로 배우는 그라파나 - {{ x86-64, arm64 }}",그라파나(💥)를 가장 쉽고 빠르게 이해하기 위해 실습 위주로 구성했습니다. 🧭  특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 그라파나 자체를 더 깊이 학습하도록 작성하였습니다. 💯 또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 그라파나를 이와 같이 깊고 넓게 다룬 강의는 없다고 자신합니다!,"₩99,000"
"쉽게 시작하는 쿠버네티스(v1.30) - {{ x86-64, arm64 }}","쿠버네티스(☸)를 정말 시작하는 단계에서 필요한 내용을 담았습니다. 🧭
이 강의를 통해 쿠버네티스를 가장 손쉽게 구조를 이해하며 시작할 수 있습니다. 🥇","₩59,400"
인프라공방 - 그럴듯한 서비스 만들기,"본 과정은 현업과 비슷하게, 인프라를 구성해가며 필요한 지식을 학습하고 적용하는 단계로 진행합니다.",무료
개발자를 위한 쉬운 리눅스,"현업 개발자가 실제로 사용하고 있는 명령어들로 커리큘럼을 만들었습니다.
OS 설치나 관리와 관련된 복잡한 개념들은 다루지 않습니다.
2시간 안에 빠르게 리눅스 기본 사용법을 익힐 수 있습니다.",무료
ElasticSearch Essential,"ElasticSearch 클러스터를 운영하기 위해 꼭 알아야 할 내부 동작에 대한 이해, 모니터링하는 방법, 사례를 기반으로 한 트러블 슈팅 방법을 알려주는 강의입니다. 이 강의를 통해 ElasticSearch 클러스터를 더 안정적으로 운영할 수 있습니다.",무료
실전 대비! DevOps 인터뷰 완벽 정복 - 고급편,"DevOps 인터뷰 준비: 클라우드, CI/CD, 코드형 인프라, 모니터링, 리눅스, 도커, 쿠버네티스 인터뷰 준비를  마스터하세요.",무료
인프런 퇴근길 밋업 #05 인프라 & AWS,,무료
실무에서 꼭 필요한 서버 모니터링(Zabbix),"IT 인프라의 효과적인 모니터링을 위한 필수 도구인 자빅스의 기본적인 사용 방법부터 고급 기능까지 체계적으로 학습합니다. 
실제 적용 사례를 통해 자빅스를 활용한 모니터링의 전문가로 성장할 수 있는 기회를 제공합니다",무료
포트폴리오 초간단 배포하기,"강의를 통해 프론트엔드, 백엔드 프로젝트를 배포하는 경험을 할 수 있습니다. 프로젝트를 배포해보면서 리눅스와 네트워크에 대한 기초 지식도 얻어갈 수 있습니다!",무료
따라하며 배우는 도커와 CI환경 [2023.11 업데이트],"이 강의를 통해 도커에 대해서 배울 수 있으며, CI 환경을 구성할 수 있습니다.",무료
구성 관리 자동화 도구 - 앤서블(Ansible),"앤서블을 통해서 다양한 환경(리눅스🐧, 윈도우📱 그리고 네트워크📶 시스템)을 자동화하는 방법에 대해서 배워봅시다. 🥇 이를 통해 다양한 시스템을 앤서블로 통일해서 관리할 수 있습니다. 그리고 작성한 앤서블 코드를 고도화🧑‍🔧 하는 방법에 대해서 알아보겠습니다.  즉 보다 효과적으로 빠르게🏃 동작하도록 코드를 작성하는 법에 대해서 알아볼 것입니다.",무료
DevSecOps SAST(/w GitLab),"DevSecOps 란 무엇인가?
CI 빌드 환경 및 Build 시 자동으로 SAST 점검을 수행하는 환경 구성해보기",무료
Azure Native로 나만의 GPT 만들기,"Azure의 여러 리소스들을 사용해서 여러분들만의 GPT를 만들고, 배포하는 강의입니다.

처음부터 끝까지! 아무것도 없는 백지에서 완전한 서비스를 배포해봅시다!",무료
"세 시간만에 끝내는 쿠버네티스부터 마이크로서비스, CI/CD, 서비스 메시까지","도커, 쿠버네티스부터 마이크로서비스, CI/CD, 서비스 메시까지 기초이론 뿐만 아니라, 실제 애플리케이션 구현을 예시를 통해 쉽게 익힐 수 있습니다. 실제 활용에 필요한 핵심 내용만을 정리하여, 강의에서 다루는 요소 기술에 대한 학습 시작점을 제공합니다.",무료
쉽게 설명하는 AWS 기초 강의,AWS 여정을 시작하기 위해 가장 필요한 내용을 담았습니다.,무료
아주 쉽다 클라우드! AWS Lightsail 자습서!,"AWS Lightsail을 사용방법을 익혀 나만의 블로그, Todolist를 생성해보세요😊",무료
