과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
하루만에 배우는 AWS OpenSearch,AWS 서비스에 OpenSearch 및 ElasticSearch를 도입하고 싶은 분들에게 AWS OpenSearch 소프트웨어를 중심으로 빠른 결과물을 보여드립니다.,없음,없음,"₩19,800",없음
SQLD 실전문제 풀이(2과목),국가 공인 SQL 자격을 위한 시험의 길잡이! SQL과 관련한 전반적인 지식 쳬계를 수립해보세요.,없음,없음,"₩121,000",없음
블록체인 노드 블록 스캐너 만들기,"블록체인 개발을 하는데에 있어서, 블록에 대한 데이터를 저장하는 스캐너를 개발하는 과정을 담았습니다.",없음,없음,"₩20,900",없음
빅데이터 클러스터 구축 패키지; 성공을 향한 로드맵,"High Availability가 보장되는 빅데이터 시스템 또는 분산처리 시스템 클러스터 (HDFS, Zookeeper, Spark, Zeppelin) 를 직접 구축해보는 코드랩 위주의 수업입니다.",없음,없음,"₩99,000",없음
PHP 프로그래밍 실무 완전 정복! with MySQL,"본 강의는 PHP 프로그래밍 활용 개념 습득 및 실습을 위한 강좌로 기획되었으며, PHP 프로그래밍 활용개념을 습득하고자하는 수강생들을 위한 강좌입니다.",없음,없음,"₩62,700",없음
깡샘의 쌩초보 안드로이드 One Day Class – Part7 파이어베이스와 연동하기,"이 강의는 구글의 파이어베이스에서 제공하는 인증, 데이터베이스, 스토리지와 FCM을 이용하는 방법을 학습합니다. 특히 FCM은 서버 Push를 위해 대부분의 앱에서 사용하는 파이어베이스의 핵심 서비스입니다.",없음,없음,"₩17,600",없음
윤파고의 정보처리기사 DB/프로그래밍 All-In-One,"정보처리기사는 DB와 프로그래밍만 잡아둬도 반 이상은 준비되었다고 보셔야합니다.
안정적인 필기 시험 합격과, 실기 시험에서는 45~55점까지 출제되는 DB와 프로그래밍 파트, 저와 함께 차근차근 잡아보실까요?",없음,없음,없음,없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part5: 데이터베이스,야구/회사 데이터베이스를 통해 MS-SQL를 학습하는 강의입니다.,오늘까지,30%,"₩30,800","₩44,000"
노션(Notion) 데이터베이스 - 입문편,"노션의 강력하고 편리한 데이터베이스 기능은 초보자도 손쉽게 DB를 구축할 수 있게 해줍니다. 이 강의에서는 데이터베이스 개념과 관련 용어(테이블, 행, 열 등)에 대한 이해, 노션 데이터베이스의 기본적인 사용법 등을 익힙니다.",없음,없음,"₩30,800",없음
노션(Notion) 데이터베이스 - 고급편,"노션의 강력하고 편리한 데이터베이스 기능은 초보자도 손쉽게 DB를 구축할 수 있게 해줍니다. 이 강의에서는 데이터 정렬, 필터 등의 학습과 DB간 관계와 롤업 기능 등의 고급 파트 기능에 대해서 학습합니다.",없음,없음,"₩44,000",없음
노션(Notion) 데이터베이스 - 중급편,"노션의 강력하고 편리한 데이터베이스 기능은 초보자도 손쉽게 DB를 구축할 수 있게 해줍니다. 이 강의에서는 테이블 속성 개념 이해 및 실습, 노션 데이터베이스 사용법 학습, DB 구축 방법 등을 익힙니다.",없음,없음,"₩41,800",없음
GCP 빅쿼리(BigQuery) 입문자를 위한 강의,"GCP에서 제공하는 정형화(Structured), 비정형화(Unstructured) 데이터 둘 다 편리하게 다룰 수 있고 자유로운 테이블 포맷을 허용하는 컬럼 지향 스토리지(Columnar Storage), 만능형 데이터베이스 BigQuery를 함께 배워봐요.",없음,24%,"₩33,830","₩45,100"
실전! Querydsl,"Querydsl의 기초부터 실무 활용까지, 한번에 해결해보세요!",없음,없음,"₩88,000",없음
[2024 리뉴얼] 처음하는 SQL과 데이터베이스(MySQL) 부트캠프 [입문부터 활용까지],"이 강의를 통해 SQL과 데이터베이스의 이해, SQL 문법, 실제 활용을 위한 데이터베이스 설계, 프로그래밍을 통한 데이터베이스 활용, 데이터 분석 활용 사례까지 익힐 수 있습니다.",없음,없음,"₩66,000",없음
Real MySQL 시즌 1 - Part 1,"MySQL의 핵심적인 기능들을 살펴보고, 실무에 효과적으로 활용하는 방법을 배울 수 있습니다. 또한, 오랫동안 관성적으로 사용하며 무심코 지나쳤던 중요한 부분들을 새롭게 이해하고, 깊이 있는 데이터베이스 지식을 얻을 수 있습니다.",없음,없음,"₩44,000",없음
실전 jOOQ! Type Safe SQL with Java,jOOQ를 통해 Type Safe한 SQL의 강력함을 경험해보세요!,없음,없음,"₩55,000",없음
Strapi로 코딩없이 나만의 API 서버 만들기,"나만의 백엔드 API 서버를, Node기반의 Strapi v4를 이용하여, 
몇 번의 클릭으로 별다른 코딩없이 만들어 AWS EC2에 배포
해보는 과정입니다.

Strapi v5도 거의 동일하게 적용이 가능합니다. 강의 A/S도 있으니 참고하세요~",없음,없음,"₩33,000",없음
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,"치지직, 아프리카TV 등 stateful 서비스에 대해서 어떻게 서버를 구축하고, 무중단 배포가 진행이 되는지 모든것을 알려드립니다.",없음,없음,"₩47,300",없음
데이터 분석 SQL Fundamentals,"SQL의 핵심 요소에 대한 상세한 강의와 실습을 통해, 여러분이 SQL 분석 전문가로 성장할 수 있도록 흔들리지 않는 뼈대를 만들어 드리겠습니다.",없음,없음,"₩55,000",없음
[코드팩토리] [초급] NestJS REST API 백엔드 완전 정복 마스터 클래스 - NestJS Core,"자바스크립트, 타입스크립트 다음은 백엔드 개발! NestJS를 이용한 REST API 백엔드 개발, Socket IO 개발 및 배포를 할 수 있게 됩니다.",없음,없음,"₩99,000",없음
대기업 근무하며 경험한 Redis를 야무지게 사용하는 방법 [이론편],Redis를 효과적으로 사용하는 방법과 실제 실무에서 또는 유명한 히스토리를 예시로 들어서 Redis의 주의점과 활용법을 모두 알려드립니다.,2일만,30%,"₩21,560","₩30,800"
Spring Boot를 활용하여 채팅 플랫폼 만들어보기,"Spring Boot를 활용하여 JWT, ws 통신에 대해서 학습하며, 대용량 TPS를 처리하는 방법에 대해서 학습하실 수 있습니다.",없음,없음,"₩57,200",없음
실전! SQL 입문,IT 업계에 있다면 SQL은 이제 기본입니다!,없음,없음,"₩44,000",없음
오라클 성능 분석과 인스턴스 튜닝 핵심 가이드,오라클 DB 아키텍처의 내부 메커니즘을 이해하고 성능 튜닝과 성능 분석 전문가로 성장할 수 있는 핵심 가이드를 제공합니다.,없음,없음,"₩77,000",없음
처음하는 MongoDB(몽고DB) 와 NoSQL(빅데이터) 데이터베이스 부트캠프 [입문부터 활용까지] (업데이트),"최신 스타트업에서 활용하는 풀스택과 데이터과학 기술의 기본 기술 중 하나인 빅데이터를 다룰 수 있는 NoSQL 기술을 익힙니다. 몽고DB는 NoSQL 중에서도 가장 쉬우면서 빠르게 활용할 수 있는 기술입니다. 본 강의에서는 짧은 시간 안에 몽고DB 기초를 익히고, 파이썬으로 몽고DB를 다루고 활용할 수 있는 기술까지 학습해 봅니다.",없음,없음,"₩66,000",없음
[7일완성]생각하는 데이터베이스모델링,"[TPC DB!] 생각하면서 배우는 데이터베이스모델링,단계별로 배우는 데이터베이스모델링, 데이터베이스모델링에서부터 웹프로그래밍 구현까지 한번에 마스터 할 수 있는 강의입니다.",없음,없음,"₩35,200",없음
GraphQL 완전정복 (키오스크를 만들며 배우는 풀스택 과정) - [2024 부분 리뉴얼],"차세대 API 제어 기술인 GraphQL의 기본과 고급 사용법 그리고 GraphQL로 만들어 가는 가상의 키오스크 서비스를 통해서 실제 프로젝트 경험을 학습하게 됩니다.

강좌는 2024년 2월 기준 가장 최신 버전인 apollo-server v4로 강좌를 부분 업데이트 했습니다.",오늘까지,30%,"₩38,500","₩55,000"
200억건의 데이터를 MySQL로 마이그레이션 할 때 고려했던 개념과 튜닝 방법,기존 MongoDB를 통해 관리하는 200억건의 데이터를 MySQL로 이전을 하면서 고려했던 개념들에 대해서 다루었습니다.,없음,없음,"₩38,500",없음
실전! Redis 활용,배워서 바로 사용할 수 있는 Redis 강좌입니다!,없음,없음,"₩44,000",없음
[백문이불여일타] 데이터 분석을 위한 중급 SQL 문제풀이,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 중급 문제풀이 강의. 
SQL 중급 이론 내용을 연습해 볼 수 있는 여러 문제를 함께 풀어봅니다.",없음,없음,"₩16,500",없음
다양한 사례로 익히는 SQL 데이터 분석,다양한 실전 데이터 분석 사례를 SQL을 통해 구현해 나가면서 데이터 분석 능력과 SQL 활용 능력을 동시에 향상 시킬 수 있습니다.,없음,없음,"₩88,000",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part8: Entity Framework Core,"원활한 데이터베이스 연동을 위해 .NET ORM인 
Entity Framework Core에 대해 학습하는 강의입니다.",오늘까지,30%,"₩30,800","₩44,000"
mongoDB 기초부터 실무까지(feat. Node.js),"mongoDB, NoSQL 요즘 많이 들리지만 아직은 낯선 데이터베이스인가요? 관계형 데이터베이스(RDS/SQL)처럼 사용하고 계시지는 않으신가요? 아무리 좋은 기술도 올바르게 사용하지 않으면 역효과가 발생합니다. 그래서 몽고디비 사용 실패 사례도 종종 보이는데요. 이 강의는 mongoDB를 최대한 mongoDB스럽게 사용할 수 있도록 기본 개념부터 실무 노하우까지 가르쳐드려요.",없음,없음,"₩77,000",없음
Real MySQL 시즌 1 - Part 2,"MySQL의 핵심적인 기능들을 살펴보고, 실무에 효과적으로 활용하는 방법을 배울 수 있습니다. 또한, 오랫동안 관성적으로 사용하며 무심코 지나쳤던 중요한 부분들을 새롭게 이해하고, 깊이 있는 데이터베이스 지식을 얻을 수 있습니다.",없음,없음,"₩44,000",없음
SQL 코딩테스트를 위한 마지막 걸음,"좀더 어려운 Leetcode SQL 문제를 풀이하면서, 한 문제에 여러 개의 문법을 한번에 적용합니다.",없음,없음,"₩22,000",없음
10만 트래픽 서비스 운영에 적용한 MySQL운영 및 마이그레이션,MySQL을 활용한 마이그레이션 및 직접 DB Server를 운영하는데에 있는 Security를 모두 알려드립니다.,없음,없음,"₩27,500",없음
MySQL Geospatial Query를 통한 위치 탐색과 AWS를 활용한 이미지 캐싱,"AWS (S3, CloudFront), MySQL(Geospatial Query)를 활용한 플랫폼 메스어답션 방법에 대해서 알려드립니다.",없음,없음,"₩44,000",없음
"Google Authenticator, QR, Cron을 활용하여 자동화 만들기","이 강의에서는 네이버 쇼핑 사이트를 활용하여 Web Scraping API 서버를 만드는것을 목표로 하고 있습니다.

MySQL을 연동하여 3티어 아키텍처로 구성해, 관리형 API서버를 구성하는 방법에 대해 알려드립니다!!",없음,없음,"₩35,200",없음
실리콘밸리 엔지니어와 함께하는 Redis,"Redis는 빠르고 확장 가능한 오픈 소스 데이터베이스입니다. 이 기술은 실시간 애플리케이션, 게임, 소셜 미디어 플랫폼 등에서 성능을 극대화하는 데 사용됩니다. 그러나 Redis의 실제 힘을 이해하고 효과적으로 활용하기 위해서는 깊은 이해가 필요합니다.
이제 Redis에 대해 전문적으로 배울 수 있는 기회가 왔습니다. ""실리콘밸리 엔지니어와 함께하는 Redis""에서는 Redis의 핵심 개념부터 고급 기능까지를 폭넓게 다룹니다. 이 강의는 Redis를 처음 사용하는 초보자부터 고급 사용자까지 모두를 위한 것입니다.",없음,없음,"₩44,000",없음
"비전공자의 전공자 따라잡기 - 데이터베이스,SQL","이미 개발자이거나 개발자가 되고 싶은데 컴퓨터 학과를 전공하지 않아 데이터베이스가 약하신 분들, 이 강좌 하나로 평생 지식을 얻어가세요!",없음,없음,"₩44,000",없음
도대체 왜? 도대체 어떻게! DB 설계와 데이터 다루기,"MariaDB와 MySQL을 활용해 ""스터디 카페, 웹소설DB 및 전국주차장정보 표준데이터""에 관한 데이터 처리와 가공방법을 살펴봅니다.",없음,없음,"₩35,200",없음
SQL 코딩테스트를 위한 첫 걸음,"Leetcode SQL 문제를 풀이하면서, 짧은 시간 안에 문제 유형 파악 및 SQL 구현 실력을 키울 수 있습니다.",없음,없음,"₩33,000",없음
MySQL 성능 최적화,"라인, 구글, 당근, 카카오 등의 회사에서 실제로 MySQL 성능을 개선한 사례들을 배워볼거에요. 

단순한 성능 최적화 가이드를 떠나서 MySQL 의 내부 동작을 이해하고, 효율적으로 쓰는 방법에 대해 알아봅시다.",없음,없음,"₩40,700",없음
"[2024 신규] 어서와, Fast API는 처음이지?","★PYTHON★ Fast API를 활용한 Server 개발 기초 강의입니다. Fast API, SQLAlchemy, Pydantic, Starlette 등 여러 Package를 활용해 쉽고, 빠르고, 간편하게 Server 개발하는 방법을 배워가세요! PostgreSQL과의 연동은 물론 DB Backup파일도 준비되어 있으니 걱정마세요! Dash와 Plotly를 활용한 UI Design ""기초""를 알려드리고 강의에 사용된 Source Code도 제공해드립니다 :)",없음,없음,"₩69,300",없음
Entity Framework Core DB 성능 튜닝 (for SQL Server),.NET Entity Framework Core로 데이터베이스 프로그래밍을 구현할 때 DB와 쿼리 성능 이슈들을 이해하고 이를 개선해서 더 좋은 성능과 더 안정적인 EF Core 프로그래밍을 할 수 있는 방법들을 배울 수 있습니다.,없음,없음,"₩165,000",없음
하루만에 배우는 AWS REDIS,하루만에 배우는 AWS REDIS 강의. 여러분의 서비스를 캐싱을 더해 안정성을 추가해보세요.,없음,없음,"₩19,800",없음
초보자를 위한 BigQuery(SQL) 입문,"초보자를 위한 BigQuery(SQL) 입문 강의입니다. 
데이터를 가공하는 방법이 궁금하신 분에게 추천합니다.",없음,없음,없음,없음
"백엔드 취업을 위한 프로젝트 구조 와 데이터베이스 다루기 [MySQL, Mongo]","백엔드 취업을 준비하시는 취준생분들을 위한 MySQL, Mongo 두가지 DB를 활용한 백엔드 개발에 대한 내용입니다.",없음,없음,"₩27,500",없음
[백문이불여일타] 데이터 분석을 위한 고급 SQL 문제풀이,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 고급 문제풀이 강의. 
SQL 고급 내용을 연습해 볼 수 있는 여러 문제를 함께 풀어봅니다.",없음,없음,"₩19,800",없음
윤재성의 처음 시작하는 MySQL DataBase,MySQL을 통해 모바일/웹 개발에 필수인 DataBase 개발을 마스터 할수 있다.,없음,없음,"₩11,000",없음
SQL 시작도 못한 분들 드루와요,기술도 흥미에서 시작해야 합니다. 회사 동료들의 MBTI 분석을 하는 땃지의 이야기를 준비했습니다. 왠지 SQL이 막막했던 분들이 즐겁게 공부를 시작하면 좋겠습니다.,없음,없음,없음,없음
Oracle PL/SQL 딱 이만큼..,오라클을 사용하는 개발자/운영자가 현장에서 즉시 사용 가능한 정도의 PL/SQL 개념/실전을 강의합니다.,없음,없음,"₩88,000",없음
"필요할 때 찾아 쓰는 SQL 쿼리북, Part I","가끔 데이터 처리가 막혀 답답한 경우가 있습니다. 전문 프로그래머나 개발자도 아닌데 파이썬이나 Java 같은 생소한 분야를 배우기엔 시간도 모자라고 쉬워 보이지도 않죠. 자주 쓰는 거라면 엑셀과 SQL 기초 정도가 전부인 분들을 위해 준비했습니다. 필요할 때 찾아 쓰는 SQL 쿼리북, 첫 번째 파트입니다.",없음,없음,"₩23,100",없음
장래쌤과 함께하는 쉽고 재미있는 SQL 이야기,전문 강사에게서 배우는 쉽고 재미있는 SQL 이야기! 초보자를 위해 체계적으로 차근차근 강의를 진행합니다. 3단계 학습 과정을 통해 충분히 반복하며 학습할 수 있는 기회를 제공합니다.,없음,없음,"₩49,500",없음
SQL 베이스캠프,"왕 기초🐥, 더이상 날 설명할 단어가 없다 하시는 분들만 들어주세요.👂 개념은 우주로🚀, 왕기초 실습만 주야장천✍, 손으로 익히는 SQL!✋ 설치 없이 합니다.🔥 여깁니다 강의 맛집 제코베!🎉",없음,없음,없음,없음
SQL처럼 쓰는 PYTHON,Python(파이썬)을 이용하여 SQL의 SELECT문처럼 데이터프레임(테이블)을 다루는 방법을 배울 수 있습니다.,없음,없음,"₩11,000",없음
RDBMS Modeling 실습,"데이터베이스 설계 기초편에 이은 두 번째 강의입니다. 실전 프로젝트를 대상으로 처음부터 끝까지 만들어보는 실전 위주의 수업이며, 강의 내용을 모두 이해하고 나면 자유자재로 데이터베이스 설계를 하실 수 있는 능력을 갖출 수 있습니다.",없음,없음,"₩55,000",없음
배워서 바로 쓰는 SQL 쿼리,개발자의 도움 없이 직접 원하는 데이터를 추출할 수 있게 됩니다. 간단한 쿼리부터 Join까지 분석에 필요한 모든 내용을 부담없이 담겠습니다.,없음,없음,"₩59,400",없음
[백문이불여일타] 데이터 분석을 위한 고급 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 고급 강의. 
SQL 고급 이론을 배우고, 실습 문제를 함께 풀어봅니다.",없음,없음,"₩55,000",없음
데이터베이스 중급(Modeling),본 강좌는 데이터베이스 설계 이론을 실습 위주로 쉽게 풀어냈습니다. 책 등을 통해서 경험하신 분들은 대부분 데이터베이스 이론이 어렵다고 느끼고 포기하신 경험들이 있을 겁니다.  저도 그랬습니다. 그러나 알고보면 쉬우면서도 매우 흥미로운 분야라는 것을 알게 됩니다. 본 강좌에서는 아주 쉽게 보고만 있어도 이해가 될 수 있도록 설계 내용을 구성하였습니다.,없음,없음,"₩55,000",없음
"[관리코스 #2] DBA (ERD, 데이터베이스 설계)","해당 강의에서는 ERD를 작성하는 방법을 배우게됩니다.
데이터베이스 설계를 배우게 됩니다. (국내유일 빅데이터 설계 강의)",없음,없음,"₩33,000",없음
SW 개발자를 위한 성능 좋은 SQL 쿼리 작성법,SQL Server 전문가로부터 SQL 개발 단계에서 성능을 고려한 쿼리 작성법을 배우는 과정입니다. 쿼리 성능 요건을 만족하기 위한 기본 사항들을 실무 사례와 함께 습득할 수 있습니다.,없음,없음,"₩132,000",없음
배달앱은 어떻게 내 주변의 맛집을 찾을까?,"제가 만약 배달앱을 처음부터 만든다면 이렇게 만들겠습니다.
실전 레벨의 fastapi, mongodb, 모델링과 인덱스 설계, redis 캐싱과 부하 테스트를 모두 이 강의에 담았습니다.",없음,없음,"₩77,000",없음
"기초탄탄, SQL 톺아보기 (입문과정)","일 잘하는 사람들의 비법! SQL, 어떻게 시작해야 할까?
SQL 설치와 기본적인 환경 구성부터 실전에서 활용할 수 있는 간단한 실습까지 담았습니다! 기본적인 명령어들에 대해서도 실습을 통해 차근차근 배워볼 수 있습니다.",없음,없음,"₩121,000",없음
오라클 SQL 데이터베이스,오라클 데이터베이스를 기반으로 SQL 구문을 배웁니다.,없음,없음,"₩39,600",없음
"MSSQL 2편 (튜닝 기본편, Performance Tunning, Senior DBA)","동시성 문제 해결 방법, 프로시저 튜닝, 쿼리 실행 속도를 높일 수 있는 다양한 방법을 배울 수 있습니다. 실무에서 흔한 실수, 발생하는 문제 등 다양한 노하우도 배워가실 수 있습니다. (The only refactoring lecture in the world)",없음,없음,"₩77,000",없음
"데이터지도 ERD를 그려보자, MySQL 워크벤치","MySQL 워크벤치를 통해 ERD를 그려보고, 데이터베이스와 테이블로 전환하는 방법에 대해 알아봅니다.",없음,없음,"₩33,000",없음
"데이터베이스, 운영체제 기본 개념 정리","이강의를 통해 수강생은 데이터베이스, 운영체제의 전반적인 개념과 흐름을 알 수 있습니다.",없음,없음,없음,없음
"데이터 분석가, IT 엔지니어에게 필요한 MySQL 마스터 코스!",👩‍💻 개발자 지망생과 빅데이터 취업을 위한 필수 과목! 모두의 MySQL,없음,없음,"₩19,800",없음
장래쌤과 함께하는 쉽고 재미있는 SQL Server 운영 이야기(기본편),"마이크로소프트 공인 강사에서 배우는 쉽고 재미있는 SQL Server 운영 이야기! 배워서 바로 쓸 수 있는, 현장에서 정말 필요한 핵심 운영 기술을 초보자도 쉽게 이해할 수 있도록 차근차근 설명합니다.",없음,없음,"₩74,800",없음
SQL과 구글시트로 시작하는 데이터분석,서비스 회사의 분석가로 활동하면서 얻은 꼭 필요한 SQL의 SELECT문과 구글시트의 기초 사용법을 정리하였습니다.,없음,없음,"₩19,800",없음
따라하며 배우는 MySQL on Docker,길고 지루한 이론 대신 짧은 실습을 통해서 하나하나 배울 수 있고 하나씩 살을 붙이다 보면 어느새 전반적인 아키텍처 구성을 경험해 볼 수 있습니다.,없음,없음,"₩33,000",없음
핵심만 쉽게 터득하는 SQL,"복잡한 이론과 개념은 과감히 생략하고, SQL 구문을 바로 작성해 연습하고 따라해보세요!",없음,없음,"₩33,000",없음
"[관리코스 #3] DE, DBA (SSIS, SSAS, MachineLearning, BI, ETL)","SSIS, SSAS, MachineLearning, BI, ETL. 국내의 도서, 유튜브, 강의, 블로그, 학원에서 찾아볼 수 없는 중요한 기술을 배울 수 있습니다. 국내 대기업, 미국 대기업 및 미국 주정부 자금 지원 기관 취업에 관심 있는 분들께도 추천해요.",없음,없음,"₩55,000",없음
공공데이터 CSV 파일을 이용해 테이블 만들기,"공공서비스를 통해 발생하는 무수한 데이터를 편집, 가공하여 나만의 데이터베이스를 구축하고 그 과정에서 발생하는 일련의 작업들과 SQL을 활용해 또 다른 숨겨진 세상을 알아봅시다.",없음,없음,"₩39,600",없음
"MariaDB 클라이언트 개발, HeidiSQL","MariaDB 클라이언트 개발 도구 HeidiSQL(하이디SQL)을 통해 SQL 쿼리를 작성하고, 데이터베이스를 다루는 방법에 대해 알아봅니다.",없음,없음,"₩11,000",없음
[웹 개발 풀스택 코스] 넷플릭스와 당근마켓 분석을 통해서 배우는 데이터베이스 기초,"본 강의는 풀스택 웹 개발자 양성을 위한 [웹 개발 풀스택 코스] 강의 시리즈의 데이터베이스 기초에 대한 강의입니다. 
이 강의는 넷플릭스와 당근마켓을 분석하면서 데이터베이스에 대한 설계를 이해하는 과정입니다. 기본적인 데이터베이스 설계 원리와 SQL를 배울 수 있는 기초 강의입니다.",없음,없음,없음,없음
"SQL Server 컨설턴트가 알려주는, 쿼리 능력 레벨업(고급 T-SQL 쿼리)","SQL Server 전문 컨설턴트이자 Microsoft MVP로부터 실무에서 가장 많이 그리고 중요하게 사용되는 고급 T-SQL 쿼리 사용법을 배우는 과정입니다, SQL을 보다 SQL답게 작성할 수 있습니다.",없음,없음,"₩165,000",없음
Oracle SQL 입문자를 위한 강의,입문자를 위한 Oracle DBMS SQL 강의입니다.,없음,없음,"₩11,000",없음
