과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
쿠버네티스 어나더 클래스 (지상편) - Sprint3,"⚓쿠버네티스, 🙇‍♀️아직 망설이시나요? 🙋‍♂️저만 믿고 따라오세요! 당신의 실력을 ⭐어나더 레벨로 만들어 드리겠습니다.",없음,없음,"₩44,000",없음
국가공인 산업보안관리사(ISE) 자격증 대비,디지털 시대로 전환되면서 보안에 대한 이슈는 끊임없이 증가해 왔습니다. 산업보안의 중요성과 해당 위협으로부터 침해 사고가 발생하지 않도록 하기 위한 방법과 지식에 대해 학습함으로써 국가공인 산업보안 관리사를 동시에 대비할 수 있도록 구성하였습니다.,없음,없음,"₩66,000",없음
리눅스 커널의 구조와 원리: 인터럽트 후반부 [저자 직강 1부-6],"시스템 소프트웨어에서 가장 많이 쓰이는, 최신 리눅스 커널(v6.1)의 '인터럽트 후반부'의 핵심 개념을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 설명합니다.",없음,없음,"₩55,000",없음
곰책으로 쉽게 배우는 최소한의 운영체제론,'넓고 얕게 외워서 컴공 전공자 되기' 강의를 끝낸 분들이 운영체제에 대해 좀 더 깊이 있는 공부를 할 수 있도록 제공되는 강의입니다.,없음,없음,"₩11,000",없음
OpenStack을 활용한 클라우드 환경 구축하기,"전 세계적으로 유명한 클라우드를 이해하고, 직접 클라우드 환경을 구축하고 쉽게 사용할 수 있는 역량을 강화하는 교육입니다.",없음,없음,"₩33,000",없음
BHPT - 호스트 기반 모의해킹 기초,"실제 공격자들이 사이버 공격을 어떻게 진행하는지 궁금하셨었나요? BHPT는 온-디맨드(On-demand) 랩(Lab)을 활용해 특정 호스트를 대상으로 공격자의 입장에서 모의해킹을 진행해 취약점을 발견, 공격, 보고, 대응 하는 방법론을 배우는 실습 위주의 종합 강의입니다.",없음,없음,"₩198,000",없음
[보안] Wazuh+ELK(SIEM)를 활용한 위협헌팅(Threat Hunting) 시스템 구축 및 운영실습 (기초),[보안 전문가를 위한 교육] Wazuh와 ELK 스택을 결합하여 최적의 위협헌팅 시스템을 직접 구축하고 운영하는 방법을 마스터하세요. 현장에서 바로 적용 가능한 전략과 실습을 통해 보안 능력을 한 단계 업그레이드합니다!,없음,없음,"₩77,000",없음
"컴퓨터 과학 (5): 인터페이스 - 운영체제, 사용자 인터페이스, 데이터베이스","✅ 전체 (1) ~ (7)의 시리즈 중, (5) 운영체제, 사용자 인터페이스, 데이터베이스 ✅ CS101 시리즈 강의 - 컴퓨터의 기초 이론부터 ✅최신 실전 예제까지 - 폭넓은 기초 지식 제공",없음,없음,"₩11,000",없음
개발자를 위한 컴퓨터공학 1: 혼자 공부하는 컴퓨터구조 + 운영체제,"베스트셀러 『혼자 공부하는 컴퓨터 구조 + 운영체제』 저자 무료 직강.
개발자들이 꼭 알아야 할 컴퓨터 구조, 운영체제 전공서 요약집.",없음,없음,없음,없음
5G 네트워크 이해하기,"5G 네트워크에 대해 전반적으로 살펴보며 이해하는 과정입니다. 1G부터 5G까지의 진화과정을 살펴보고, 5G RAN 및 5GC를 포함하는 네트워크의 특징 및 아키텍쳐에 대해 함께 학습합니다.",없음,없음,"₩99,000",없음
보안 전문가를 위한 파워쉘,파워쉘을 자신의 분야에 활용해 업무 능력을 향상 시킬 수 있도록 도와주는 강좌입니다.,없음,없음,"₩110,000",없음
리눅스 커널의 구조와 원리: 디버깅 - Basic [저자 직강 1부-2],"시스템 소프트웨어에서 가장 많이 쓰이는, 최신 리눅스 커널(v6.1)의 기본적인 디버깅 기능과 방법을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 설명합니다.",없음,없음,"₩33,000",없음
실리콘밸리 엔지니어와 함께하는 리눅스 실전,"리눅스는 전 세계적으로 서버, 클라우드, 그리고 IoT 디바이스를 비롯한 다양한 플랫폼에서 널리 사용되는 운영 체제입니다. 여러분은 이 강의를 통해 리눅스의 깊은 이해를 바탕으로 IT 분야에서의 경쟁력을 한층 강화할 수 있습니다. 또한, 오픈 소스 기술에 대한 전문 지식을 습득함으로써 미래 기술 환경에 대비하고, 높은 수요의 직업 시장에서 두각을 나타낼 수 있습니다.",없음,없음,"₩44,000",없음
리눅스 커널의 구조와 원리: 인터럽트 [저자 직강 1부-5],"시스템 소프트웨어에서 가장 많이 쓰이는, 최신 리눅스 커널(v6.1)의 인터럽트 핵심 개념을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 설명합니다.",없음,없음,"₩55,000",없음
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",혼자서 서비스 개발과 운영 전반을 소화할 수 있는 슈퍼 개발자로 오랫동안 활동하고 싶다면? 다양한 개발 언어 못지 않게 중요한 IT 인프라 지식을 기초부터 탄탄히 다져보세요!,없음,없음,"₩55,000",없음
그림으로 쉽게 배우는 운영체제,이 강의를 통해 모든 개발자들이 필수로 알아야하는 운영체제의 원리를 알 수 있습니다.,없음,없음,"₩77,000",없음
[2024] 처음 시작하는 도커와 컨테이너,도커? 절대 어렵지 않습니다. 짧고 굵게 핵심만 설명합니다. 빠르게 익히고 응용하며 이해 해봅니다!,없음,없음,"₩44,000",없음
리눅스 시스템 디버깅,어셈블리 코드를 이해하고 함수의 역추적을 할 수 있으며 프로세스를 추적하는 gdb이 내부 구조를 이해할 수 있습니다. 또한 커널의 디버깅 도구를 다룹니다.,없음,없음,"₩88,000",없음
리눅스 커널의 구조와 원리: 디버깅 - Advanced 실전 [저자 직강 1부-3],"시스템 소프트웨어에서 가장 많이 쓰이는, 최신 리눅스 커널(v6.1)의 가장 진보된 커널 메모리 덤프 디버깅 스킬을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 설명합니다.",없음,없음,"₩55,000",없음
Arm 아키텍처: 트러스트존(TrustZone) [저자직강 3부-1],"시스템 소프트웨어의 기본 중의 기본, 최신 Arm 아키텍처(Armv8-A, Armv7-A)의 핵심인 트러스트존(TrustZone)을 ""시스템 소프트웨어 개발을 위한 Arm 아키텍처의 구조와 원리""의 저자가 제대로 잡아드립니다!",없음,없음,"₩33,000",없음
인프라공방 - 그럴듯한 서비스 만들기,"본 과정은 현업과 비슷하게, 인프라를 구성해가며 필요한 지식을 학습하고 적용하는 단계로 진행합니다.",없음,없음,"₩55,000",없음
개발자를 위한 쉬운 리눅스,"현업 개발자가 실제로 사용하고 있는 명령어들로 커리큘럼을 만들었습니다.
OS 설치나 관리와 관련된 복잡한 개념들은 다루지 않습니다.
2시간 안에 빠르게 리눅스 기본 사용법을 익힐 수 있습니다.",없음,없음,없음,없음
리눅스 시스템 프로그래밍,"본 과정은 Linux 운영 체제의 강력한 커널 이해부터 시스템 콜 호출, 프로세스 관리 및 파일 작업에 이르기까지 Linux 운영 체제의 복잡한 과정을 안내합니다.  또한 스레딩, 프로세스 간 통신 기술을 습득할 수 있습니다.",없음,없음,"₩88,000",없음
Windows 소켓 프로그래밍 입문에서 고성능 서버까지!,이 강의를 통해 응용 프로그램 수준 프로토콜 설계 기법과 IOCP기반 고성능 서버 개발 방법을 배울 수 있습니다!,없음,없음,"₩110,000",없음
리눅스 커널의 구조와 원리: 프로세스 [저자 직강 1부-4],"시스템 소프트웨어에서 가장 많이 쓰이는, 최신 리눅스 커널(v6.1)의 프로세스 핵심 개념을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 설명합니다.",없음,없음,"₩55,000",없음
리눅스 소개와 리눅스 커널 Overview [저자직강 1부-1],"시스템 소프트웨어에서 가장 많이 쓰이는, 리눅스 운영체제의 핵심인 최신 리눅스 커널(v6.1)의 기본 개념을 ""디버깅을 통해 배우는 리눅스 커널의 구조와 원리""의 저자가 제대로 잡아드립니다!",없음,없음,없음,없음
비전공자를 위한 시스템 프로그래밍 개론,"리눅스(Linux)가 무엇인지 기본 구조를 설명하고, 쉘(Shell)을 다루는 방법을 익힙니다. 나아가 리눅스 네트워크에 대한 기본적인 이해를 할 수 있도록 배워봅니다.",없음,없음,"₩33,000",없음
시스템엔지니어가 알려주는 리눅스 기초편 Bash Shell Script,"전 세계에서 서버로 가장 많이 사용하는 운영체제인 리눅스(Linux)
그 리눅스를 자유자재로 다루기 위한 첫걸음인 CLI(Command Line Interface)기본 명령어와 그 명령어의 조합으로 만드는 쉘 스크립트에 대한 이야기입니다.
이 강의는 리눅스에 관심이 있는 분이라면 처음에 누구나 가져봤을 의문과 고민을 해결해 드립니다.",없음,없음,"₩77,000",없음
리눅스 쉘 스크립트,"리눅스가 뭔지도 알고, 간단한 사용법도 익히기는 했는데.. 리눅스 쉘을 좀 더 잘 쓰고 싶으신가요? 리눅스 쉘 스크립트를 작성하셔야 하시나요? 자, 이제 리눅스 쉘 스크립트를 배우실 차례입니다!",없음,없음,"₩77,000",없음
멀티OS 사용을 위한 가상화 환경 구축 가이드 (Docker + Kubernetes),"가상화 환경 구축을 위해 필요한 기본적인 지식에 대해 이해하고, Vagrant + VirtualBox라는 툴을 이용하여 사용자의 환경에 맞는 가상환경을 생성하고 Docker와 Kubernetes Cluster를 구축해 봅니다. 또한 Apple silicon chip을 사용하는 macOS 환경에 적합한 가상화 SW에 대해서도 소개하고 실습할 수 있습니다.",없음,없음,없음,없음
비전공자를 위한 컴퓨터 구조 및 OS 개론,"컴퓨터 하드웨어의 기본 구조와 동작 원리 및 설계 방법과 OS에 대한 부분을 알아보고, 좋은 프로그램을 만드는 데 필요한 지식을 쌓을 수 있습니다.",없음,없음,"₩33,000",없음
웹 서비스 해킹을 위한 버프스위트 완벽 활용 가이드,웹 취약점 분석 (해킹) 을 할 때 제일 많이 사용하는 도구는 웹 프록시(Web Proxy) 서버이다. 그 중에서 버프스위트(BurpSuite)를 많이 활용하게 된다. 버프스위트를 활용법을 정기적으로 업데이트 하여 웹 모의해킹에 도움이 될 수 있도록 기획하였다.,없음,없음,없음,없음
원격으로 PC 서버 점검 파워쉘 입문 ~ GUI,로컬과 원격으로 PC와 서버를 손쉽게 점검할 수 있는 방법을 배웁니다. Power Shell의 막강한 기능으로 프로그래밍 경험이 없어도 쉽게 접근할 수 있습니다.,없음,없음,"₩44,000",없음
Nix NixOS 강의 (기본 설치/설정편) part 1,"맥,ms윈도우,NixOS,모든리눅스,시놀로지NAS 에 Nix를 설치해 동일한 최신 app 개발환경 만들기",없음,30%,"₩23,100","₩33,000"
리눅스 IPC 프로그래밍 - 이론과 실습,"IPC 도구를 이용한 프로그래밍에서 더 나아가 ""소프트웨어 요구사항에 맞는 IPC 도구를 적절히 선택해 설계/구현 할 수 있는 능력을 키우는 것""이 이 강좌의 최종 목표 입니다.",없음,없음,"₩99,000",없음
WEB2 - Domain Name System,이 수업은 도메인 이름을 자신의 서버 컴퓨터에 부여하는 방법을 알려드리는 수업입니다.,없음,없음,없음,없음
리눅스 쉘 스크립트 마스터,"리눅스 쉘 스크립트를 공부할까 말까 망설이는 당신에게 한 가지만 말하겠습니다.
해커처럼 멋있게 리눅스를 다루고 싶은가요? 쉘 스크립트를 모르는 해커를 상상할 수 있나요? 
그럼 지금 바로 시작하세요!",없음,없음,"₩99,000",없음
생활코딩 - Linux,본 수업에서는 리눅스의 사용법을 다룹니다. 특히 초심자들이 어려워하는 부분이 명령어를 이용해서 컴퓨터를 제어하는 법입니다. 여기서는 초심자가 명령어를 사용하는데 필요한 가장 보편적인 규칙을 최소한으로 다룹니다.,없음,없음,없음,없음
@시코 - 리눅스(Linux) 실무 입문,기업에 입사해 프로젝트를 시작하게 되면 서버 세팅부터 시작하기 마련입니다. 이때 클라우드와 리눅스에 대한 이해 없이는 제대로 된 세팅을 할 수 없겠죠? 이 강의를 통해 클라우드와 리눅스에 대한 기술과 기법을 익혀보세요!,없음,없음,"₩11,000",없음
Linux Command-Line 명령어 기초 배우기,본 강의는 실습을 통해 리눅스에 대한 기초적인 이해를 돕고 터미널을 이용해 명령어를 어떻게 사용하는지 배우는 과정입니다. 리눅스를 한번도 접해보지 못한 수강생 분들도 강의를 통해 리눅스 명령어에 대한 기초적인 이해를 하는 데 많은 도움이 될 거라 생각합니다.,없음,없음,없음,없음
"리눅스 필수 유틸리티 4종 마스터 - awk, sed, grep, find","쉘 스크립트를 공부하셨다면, 다음 단계는 find, grep, sed, awk 명령어를 효과적으로 사용하기 위한 학습이 필요합니다.
이 명령어들의 활용 방법을 알기 위해 더 이상 구글 검색하지 마세요.",없음,없음,"₩154,000",없음
운영체제 공룡책 강의,운영체제의 기본 원리를 튼튼히 이해해야만 고급 프로그래밍 기술을 이해할 수 있습니다. 본 강의는 운영체제의 바이블이라 할 수 있는 공룡책에 대한 전공자 수준의 강의입니다.,없음,없음,없음,없음
Windows PowerShell 기초 배우기,이 강의는 Windows PowerShell에 대한 기초적인 이해를 돕고 파워셀 콘솔과 ISE를 이용한 기본적인 명령어 사용과 스크립트에 대해 배우는 과정입니다. PowerShell을 한번도 접해보지 못한 수강생 분들도 강의를 통해 PowerShell 활용에 많은 도움이 될 거라 생각합니다.,없음,없음,없음,없음
'이것이 리눅스다' 저자의 Red Hat CentOS7 리눅스 서버&네트워크 강좌,한빛미디어에서 발간한 '이것이 리눅스다' 의 저자가 직접 강의하는 강좌 입니다.,없음,없음,없음,없음
뇌를 자극하는 윈도우즈 시스템 프로그래밍,한빛미디어(주)에서 발간한 '뇌를 자극하는 윈도우즈 시스템 프로그래밍' 저자의 강좌 입니다.,없음,없음,없음,없음
