과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
"블록체인, 가상자산거래소 보안","블록체인 개념과 기술을 이해하고, 가상자산거래소에 특화된 ISMS-P 인증심사를 할 수 있습니다.",없음,없음,"₩110,000",없음
스프링부트 시큐리티 & JWT 강의,스프링부트 시큐리티에 대한 개념이 잡힙니다.,없음,없음,없음,없음
네이버클라우드 보안 아키텍처 및 비용,이 강의를 통해 네이버 클라우드의 보안 아키텍처 구축 및 예상 운영 비용을 파악 할 수 있습니다.,없음,없음,"₩33,000",없음
파이썬을 활용한 데이터분석과 IT보안,이번 강의는 파이썬을 활용한 데이터 분석과 IT보안 영역 적용 방법을 가이드 해주는 강의입니다.,없음,없음,"₩132,000",없음
스프링 시큐리티,스프링 시큐리티 구동 원리 및 구조를 이해하고 스프링 시큐리티가 제공하는 다양한 기능을 활용하여 웹 애플리케이션에 필요한 인증 및 인가 기능을 설정하는 방법을 살펴봅니다.,없음,없음,"₩88,000",없음
[All in One] 정보보안 직업 체험(보안 취업 & 신입 패키지),"정보보안 분야 취업을 원하시나요? 취업은 예정되어 있는데 뭘 할지를 모르겠나요?
보안 현직자가 공개하는 Real Voice, 면접/입사 후에 최고의 사원으로 이끌어 드리겠습니다.",없음,없음,"₩88,000",없음
찐~ 보안전문가 되기(정보보안의 현재와 미래),정보보안에 대한 Career Planning이 필요하신가요? 정보보안전문가가 될려면 어떻게 해야 할지 막막하신가요? 정보보안분야의 현재와 미래에 대해 알려드리겠습니다.,없음,없음,없음,없음
반드시 알고 넘어가야 할 웹 기술 기초편,"웹 기술 기초를 익힐 수 있는 강좌로 단 시간에 웹 기술 기초를 익히실 수 있습니다.
웹 관련 공부 혹은 취업을 희망하시는 분은 반드시 본 강좌를 수강하세요!",없음,없음,없음,없음
시큐어 코딩 in C,"C 과정의 시큐어 코딩은 안전하고 안정적인 소프트웨어 애플리케이션의 개발을 보장하기 위해 버퍼 오버플로, 메모리 관리 및 취약성 예방과 같은 개념을 다룹니다.",없음,없음,"₩55,000",없음
[2024] [DevOps] 빠르고 안전한 어플리케이션 배포 파이프라인(CI/CD) 만들기,"빠르면 위험하고, 안전하면 느리다? 그렇지 않습니다. 빠르고 안전한 파이프라인 한 번 만들어 보시죠!",없음,없음,"₩99,000",없음
해커를 위한 iOS 앱 모의 해킹 전문 과정,"모의해킹 실무에서 iOS 모바일 앱 모의해킹은 이제 필수입니다! 
iOS 앱 진단을 처음 접하는 분들을 위한 기초 강의입니다. 진단에 필요한 기초적인 선수지식부터 모의해킹 업무에서 다루는 실무 중심 실습으로 구성하였습니다.",없음,없음,"₩198,000",없음
"모의해킹 실무자가 알려주는, SQL Injection 고급 공격 기법 : PART 2","모의해킹 실무자가 알려주는, SQL Injection 두번째 강의! 첫번째 강의는 기본과 공격의 핵심 원리를 살펴보았다면, 두번째 강의에서는 테크니컬한 고급 공격 기법에 대한 강의입니다. 때문에 첫번째 강의 수강은 필수!",없음,없음,"₩165,000",없음
BHPT - 호스트 기반 모의해킹 기초,"실제 공격자들이 사이버 공격을 어떻게 진행하는지 궁금하셨었나요? BHPT는 온-디맨드(On-demand) 랩(Lab)을 활용해 특정 호스트를 대상으로 공격자의 입장에서 모의해킹을 진행해 취약점을 발견, 공격, 보고, 대응 하는 방법론을 배우는 실습 위주의 종합 강의입니다.",없음,없음,"₩198,000",없음
외워서 끝내는 SSL과 최소한의 암호기술,"인터넷의 안전을 책임지는 암호기술에 대해 아주 쉽게 외워서 끝낼 수 있도록 도와드립니다. SSL인증서, PKI 기술, 디지털 서명, 공인인증시스템 등 다양한 기술의 구조와 원리를 이해할 수 있습니다.",없음,없음,"₩44,000",없음
DevSecOps Basic (/w SAST),"DevSecOps 란 무엇인가?
CI 빌드 환경 및 Build 시 자동으로 SAST 점검을 수행하는 환경 구성해보기",없음,없음,"₩66,000",없음
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,"AWS 제로트러스트의 근간을 이루고 있는 IAM에 대해 가장 기초적인 부분부터 세부적인 내용까지 배울 수 있습니다. 이를 통해 실제로 어떤 부분이 취약할 수 있는지, 어디를 더욱 신경써야 하는지 배울 수 있습니다.",없음,없음,"₩88,000",없음
"[2024] 실무에서 사용하는 클라우드 보안 프로그래밍 (AWS, Python, Terraform)","클라우드를 위한 프로그래밍 언어(Python, Terraform)를 배울 수 있도록 구성되어 있습니다. 클라우드 보안을 담당하면서 간단하지만 귀찮은 반복 업무들이나, 내가 언제 어떻게 배포했는지, CSPM과 같은 솔루션을 통해 해결하지 못하는 우리 회사만의 정책 등을 직접 만들고 적용 할 수 있습니다. 특히 가장 잘나가는 IaC(Infrastructure as Code) 어플리케이션인 테라폼을 통해 배포 전 단계에서 보안을 자동으로 적용하고, 규모가 큰 아키텍처도 빠르게 배포/삭제 할 수 있는 능력을 길러보세요.",없음,없음,"₩66,000",없음
"안전한 웹 사이트 제작을 위한, 웹 보안 원 포인트 레슨",본 강의를 통해 안전한 웹 서비스를 제작하는 방법을 익힐 수 있습니다.,없음,없음,"₩33,000",없음
"모의해킹 실무자가 알려주는, XSS 공격 기법","이번 강의에서는 클라이언트 공격의 제왕, XSS(Cross-Site Scripting)에 대해 다룹니다. XSS의 기본 개념부터 공격 원리, 그리고 무엇보다 중요한 어떤 프로세스로 공격 절차를 거쳐야 하는지에 대해서까지 체계적으로 학습하실 수 있습니다.",없음,없음,"₩66,000",없음
ISMS-P 자격증 취득을 위한 기본 실무 강의,ISMS-P 인증심사원을 꿈꾸는 인증심사원 자격 검정 대비 이론/실무 교육입니다.,없음,없음,"₩550,000",없음
"파일 업로드 취약점 고급 공격 기법 PART2-2 : 웹 방화벽 우회를 위한, 기본 지식과 테크닉",웹 해킹의 끝판 대장! 파일 업로드 취약점 공격 기법! 파트1에 이어 파트2 '2편' 교육으로 보다 심화된 고급 기법에 대한 내용을 다룹니다.,없음,없음,"₩22,000",없음
"실습으로 배우는 OAuth 2.0 개념 원리, 그리고 해킹과 보안",OAuth 2.0 프로토콜에 대한 핵심 이론과 실습을 통해 동작 원리를 더욱 자세하게 살펴봅니다. 그리고 해킹과 보안의 관점으로 OAuth 2.0 프로토콜 분석을 해봅니다.,없음,없음,"₩66,000",없음
"모의해킹 실무자가 알려주는, 파일 업로드 취약점 공격 기법과 실무 사례 분석 : PART 1",웹 해킹의 끝판 대장! 파일 업로드 취약점 공격 기법! 기존의 알려진 방법과 전혀 다른 접근 방법을 통해 교육생의 웹 해킹 실력을 한층 스킬업! 시킬 수 있는 교육입니다!,없음,없음,"₩88,000",없음
"모의해킹 실무자가 알려주는, SQL Injection 공격 기법과 시큐어 코딩 : PART 1","모의해킹 실무자가 알려주는, 웹 해킹의 꽃 SQL Injection! 공격과 방어를 동시에 배워보세요.",없음,없음,"₩165,000",없음
"Google Authenticator, QR, Cron을 활용하여 자동화 만들기","이 강의에서는 네이버 쇼핑 사이트를 활용하여 Web Scraping API 서버를 만드는것을 목표로 하고 있습니다.

MySQL을 연동하여 3티어 아키텍처로 구성해, 관리형 API서버를 구성하는 방법에 대해 알려드립니다!!",없음,없음,"₩35,200",없음
CPPG 두음 문제 자동 출제 강의,CPPG 자격증 시험에 도움이 되는 두음  5개 분야 140 두음을 제공합니다. 또한 매번 다르게 출제되는 111문제 자동 생성 도구를 통해 사용방법을 소개하고 1회및 해설 강의를 제공합니다.,없음,없음,"₩44,000",없음
DevSecOps SAST(/w GitLab),"DevSecOps 란 무엇인가?
CI 빌드 환경 및 Build 시 자동으로 SAST 점검을 수행하는 환경 구성해보기",없음,없음,"₩49,500",없음
정보보안 패스파인더,정보 보안과 해킹 기술에 대해 넓고 얇게 알아보아요!,없음,없음,없음,없음
보안 전문가를 위한 파워쉘,파워쉘을 자신의 분야에 활용해 업무 능력을 향상 시킬 수 있도록 도와주는 강좌입니다.,없음,없음,"₩110,000",없음
파일 업로드 취약점 고급 공격 기법 PART2 [통합편],웹 해킹의 끝판 대장! 파일 업로드 취약점 공격 기법! 파트1에 이어 파트2 '1편' 교육으로 보다 심화된 고급 기법에 대한 내용을 다룹니다.,없음,없음,"₩110,000",없음
"모의해킹 실무자가 알려주는, 파일 다운로드 취약점 공격 기법과 실무 사례 분석","웹 해킹 입문자에서부터 실무자까지 쉽게 따라 할 수 있는 파일 다운로드 취약점 공격 기법!
실무에서 사용되는 파일 다운로드 취약점 공격 기법과 심화 공격 기법! 그리고 시큐어 코딩 적용 방법!",없음,없음,"₩33,000",없음
차이를 만드는 AWS 클라우드 보안 첫걸음,"AWS 클라우드, 왜 보안을 배워야 하는가?
클라우드 사용이 일반화되어 있는 지금, 클라우드 사용에 제일 기본이 되어야 하는 게 무엇일까요? 바로 보안입니다. 
클라우드에 저장된 데이터에 무단 침입하는 액세스와 누출을 막지 못한다면 
나와 회사가 맞닥뜨릴 손해는 이루 말할 수 없겠죠? 
이러한 사고를 막을 수 있도록 아마존의 AWS 클라우드를 사용하기 위한 기초 보안 지식을 알려 드립니다.",없음,없음,"₩110,000",없음
CPPG CORE CLASSROOM 학습,"CPPG 최빈출 핵심 토픽 100개를 이론, 마인드맵, 문제풀이로 반복학습합니다.",없음,없음,"₩110,000",없음
정보보호시스템 구축 이해,"초급자를 위해 준비한
[자격증 및 실무 (보안 · 네트워크), 보안] 강의입니다.",없음,없음,"₩49,500",없음
ISMS-P 인증기준 선택 특강,ISMS-P 인증심사원 시험의 60%를 차지하는 인증기준 선택의 노하우를 공개합니다.,없음,없음,"₩77,000",없음
정보보안기사 실기 - 문제풀이 중심 Part.2 네트워크 보안,정보보안기사 실기 기출문제 내용을 효과적으로 학습하여 정보보안기사 실기 자격증을 취득할 수 있습니다.,없음,없음,"₩34,100",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 - 개인정보보호법규(2022년),"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 다섯 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 - 개인정보보호 법규 (2022년 버전)""입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩121,000",없음
해킹 대회를 위한 시스템 해킹 프로토스타 완벽 풀이집,강의를 통해 프로토스타 튜토리얼은 여러 예제 프로그램을 통해 그 시스템 공격기법들의 원리를 이해할 수 있습니다.,없음,없음,"₩99,000",없음
파이썬을 이용한 IT 해킹과 보안,파이썬 프로그래밍의 입문부터 IT보안의 다양한 분야에서 적용할 수 있는 기술을 배우게 됩니다.,없음,없음,"₩110,000",없음
오픈 소스 도구를 활용한 웹 해킹 및 스노트 분석(침해대응),"웹 서비스를 진행하기 위해 필요한 웹 프록시 OWASP-ZAP의 기능별 활용, 공격 패턴에 따른 침해사고대응분석 가상 환경 이미지 시큐리티오니온(Security Onion)에 대해 배울 수 있습니다.",없음,없음,"₩99,000",없음
비박스를 활용한 웹 모의해킹 완벽 실습,"모의해킹 업무 및 웹애플리케이션 취약점에 대한 궁금증이 있는 입문자부터 실무자까지 볼 수 있습니다. 다음과 같은 내용을 다룹니다. 비박스(bee-box)는 웹 취약점을 공격할 수 있는 오픈소스 웹 애플리케이션인 bWAPP(buggy Web Application)이 설치된 가상환경으로, 최신 시스템 공격 기법을 포함하고 있고 항목별로 난이도가 조정됩니다.",없음,없음,"₩132,000",없음
비박스를 활용한 웹 모의해킹 완벽 실습,"모의해킹 업무 및 웹애플리케이션 취약점에 대한 궁금증이 있는 입문자부터 실무자까지 볼 수 있습니다. 다음과 같은 내용을 다룹니다. 비박스(bee-box)는 웹 취약점을 공격할 수 있는 오픈소스 웹 애플리케이션인 bWAPP(buggy Web Application)이 설치된 가상환경으로, 최신 시스템 공격 기법을 포함하고 있고 항목별로 난이도가 조정됩니다.",없음,없음,"₩132,000",없음
메타스플로잇(Metasploit) 활용한 취약점 분석(중고급과정),취약점 분석 프레임워크 메타스플로잇(Metasploit)을 활용한 모듈 분석 및 개발 단계가 포함되어 있습니다. 메타스플로잇 초중급 과정을 들으시고 자신이 만든 모듈을 자유롭게 이용하고 활용할수 있는 단계입니다. 국내외 어디에서도 들을 수 없는 수준 높은 강의입니다.,없음,없음,"₩110,000",없음
메타스플로잇(Metasploit) 활용한 취약점 분석(초중급과정),모의해킹 업무 및 취약점 분석 업무에 활용하는 취약점 분석 프레임워크 메타스플로잇(Metasploit)의 모든 것을 다루었습니다.,없음,없음,"₩88,000",없음
파일 업로드 취약점 고급 공격 기법 PART2-3 : 다양한 실무 환경에서의 공격 방법론,웹 해킹의 끝판 대장! 파일 업로드 취약점 공격 기법! 파트1에 이어 파트2 '3편' 교육으로 보다 심화된 고급 기법에 대한 내용을 다룹니다.,없음,없음,"₩44,000",없음
파일 업로드 취약점 고급 공격 기법 PART2-1 : 파일 업로드 라이브러리 분석과 공격 방법론,웹 해킹의 끝판 대장! 파일 업로드 취약점 공격 기법! 파트1에 이어 파트2 '1편' 교육으로 보다 심화된 고급 기법에 대한 내용을 다룹니다.,없음,없음,"₩44,000",없음
"Skill-Up! 웹쉘 탐지 솔루션 우회를 위한, 웹쉘 난독화 기법",웹쉘과 웹쉘 탐지 솔루션에 대한 기본적인 이해와 우회를 위한 공격 방법 및 난독화 기법들!,없음,없음,"₩14,300",없음
"성공적인 SQL 인젝션 공격을 위한, SQL 기본 문법",웹 해킹의 꽃이라 불리는 SQL 인젝션 공격을 익히기 위한 기초 단계! SQL 기본 문법에 대한 강의입니다!,없음,없음,없음,없음
핵심을 찾아내는 침해사고 분석,보안 분석가로서 업무를 수행하기 위해 필요한 기본적인 지식과 실습을 통해 침해사고분석 훈련을 진행하는 실습 중심의 강의입니다. 기업 침입대응 및 분석 업무에 필요한 실무 관점의 침해사고 분석 방법을 함께 살펴봅니다.,없음,없음,"₩77,000",없음
안드로이드 앱 모의해킹/분석 시작하기 (With.IDA/JEB/Frida),"모바일 진단 방법(정적/동적)에 대한 방법론을 실습앱과 강의자료를 통해 따라하면서 배울 수 있도록 제작하였습니다.
기초부터 실무할 때 사용되는 기술 및 팁까지 있으므로 모바일 컨설턴트에게 많은 도움이 되도록 제작하였습니다.",없음,없음,"₩33,000",없음
무차별 대입 공격(bruteforce attack) with Python,해킹 공격이 어떻게 진행되는지 궁금하세요? 방어는 어떻게 하는지 궁금하신가요? 간단한 python 코드를 사용해 무차별 대입 공격을 진행해봅니다. 이를 통해 공격과 방어가 어떻게 이뤄지는지 배워가세요. :),없음,없음,없음,없음
"정보보안기사 실기 - 문제풀이 중심 Part.5 정보보안 관리, 법률",정보보안기사 실기 기출문제 내용을 효과적으로 학습하여 정보보안기사 실기 자격증을 취득할 수 있습니다.,없음,없음,"₩11,000",없음
정보보안기사 실기 - 문제풀이 중심 Part.4 시스템 보안,정보보안기사 실기 기출문제 내용을 효과적으로 학습하여 정보보안기사 실기 자격증을 취득할 수 있습니다.,없음,없음,"₩27,500",없음
버그헌팅과 시나리오 모의해킹 전문가 되기,버그헌팅(버그바운티)와 모의해킹 업무를 준비하는 분들을 위한 기본 강의입니다. 모의해킹 업무에 필수는 웹 해킹입니다. 웹 해킹을 배우시고 난 후에는 시나리오 기반으로 공부할 수 있는 가상 웹/서버 환경을 이용하여 웹 해킹을 시작으로 시스템 해킹까지 여러 사례를 학습할 수 있도록 가이드 해줍니다.,없음,없음,"₩165,000",없음
"보안을 위한 오픈 검색 서비스 Shodan, Censys 등 활용과 개발",OSINT(Open Source Intelligence) 검색 서비스를 활용하여 많은 보안 해킹 사고들이 발생하고 있습니다. 공격이 들어오기 전에 오펜시브(Offensive) 관점으로 잠재적인 보안 위협을 먼저 모니터링하고 제거하기 위한 활용 방법을 다룹니다.,없음,없음,"₩55,000",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 02 - T2. 인증기준2 (1/2),"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 두 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T2. 인증기준2 (1/2)"" 입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩132,000",없음
모의해킹 취업 준비하는데 알아두면 좋은 것,"이 과정은 모의해킹 업무로 진로를 선택했는데, 어떻게 준비하면 될지 궁금한 분들을 위해 ""자막""과 함께 준비했습니다.",없음,없음,없음,없음
챌린지로 알아보는 디지털포렌식 해킹 대회 준비 (기초),"'디지털포렌식 기술을 가장 빠르게 습득 할 수 있는 방법은 무엇일까?'라는 질문을 항상 마음속으로 품고있다. 많은 사람들이 ""어떻게 하면 빠르게 포렌식 기술을 배우나요?""라는 질문을 자주 물어보곤한다. 본 과정에서는 디지털포렌식 챌린지에서 필요한 기술들과 국내에서 열린 주요 챌린지 문제 풀이를 통해 다양한 포렌식 기술을 습득하고 이해할 것이다.",없음,없음,"₩99,000",없음
디지털포렌식 분석 자격증 2급 필기 대비,디지털 포렌식 전문가 2급 필기를 합격하기 위하여 시험에 나오는 내용들을 학습합니다.,없음,없음,"₩110,000",없음
윈도우 악성코드(malware) 분석 입문 과정,입문자를 위한 악성코드 분석 과정의 단기 온라인 과정입니다.,없음,없음,"₩143,000",없음
대회 문제 풀이로 이해하는 디스크 포렌식 분석,디스크포렌식 CTF에서는 디스크상에서 일어나는 다양한 형태의 문제 분석 방법에 대해서 알아보자. 디스크 구조부터 디스크에 설치된 운영체제에 대한 아티팩트를 분석하여 문제에서 원하는 숨겨진 메시지나 답을 찾는 과정을 살펴보자.,없음,없음,"₩77,000",없음
정보보안 전문가란? 무엇을 하고 어떻게 준비해야 할까.,"정보 보안 전문가에 대해서 알아봅니다. 어떤일을 하며, 전망, 되기위한 준비사항 등을 알아봅니다.
진로에 관한 고민이 있는 분께 많은 도움이 됩니다.",없음,없음,없음,없음
취미로 해킹#1(OverTheWire - Bandit),"검은 화면에서 알 수 없는 리눅스 명령어들을 입력하는 사람을 보고 매력을 느낀 적은 있지만, 어디서부터 어떻게 해야 할지 몰라 막연한 마음이었다면 이 강좌를 통해 도움을 받으실 수 있습니다.",없음,없음,"₩33,000",없음
무작정 따라하며 원리를 깨우치는 웹 해킹 : WebGoat 편,"WebGoat 문제 풀이를 통해 무작정 따라하면서 배우고, 익히고, 원리를 파악할 수 있는 웹 해킹 강의!",없음,없음,"₩49,500",없음
24년 개인정보보호법 시행령 개정 해설 강의,"'24년 개인정보보호법 시행령 개정에 따른 ISMS-P, CPPG 자격증, 개인정보보호 실무에 대응할 수 있습니다.",없음,없음,"₩44,000",없음
2023년 개인정보보호 법령 제개정 내용 강의,"2023년 최신 개인정보보호법 관련 법령을 파악하여 ISMS-P, CPPG 자격증 준비 및 개인정보보호 실무에 대비하세요.",없음,없음,"₩110,000",없음
해킹대회(CTF) 출전을 위한 시스템해킹(Pwnable) 입문,해킹대회(CTF)의 시스템 해킹(Pwnable) 입문을 위한 강의입니다.,없음,없음,없음,없음
정보보안기사 실기 - 문제풀이 중심 Part.3 어플리케이션 보안,정보보안기사 실기 기출문제 내용을 효과적으로 학습하여 정보보안기사 실기 자격증을 취득할 수 있습니다.,없음,없음,"₩19,800",없음
현직 CISO가 알려주는 정보보호/정보기술 채용 합격 비법,"정보보호/정보기술 분야 진로를 선택하고, 대기업/금융권 등으로 이직을 준비하는 분들을 위해 합격 전략을 공개합니다. 수많은 인원을 직접 뽑고, 추천해온 현직 CISO가 채용 합격 비법을 전수합니다. 주위 지인인 보안회사 대표나 갑 회사 임원들로부터 듣고, 방대한 채용비법 자료수집을 통해 채용 바이블을 집대성하였습니다.",없음,없음,"₩253,000",없음
ISMS-P 인증심사원 2020년 실전 비공개 모의고사 해설 강의,ISMS-P 인증심사원 자격증을 준비하는 분들을 위해 실전 모의고사 비공개 해설 과정을 준비했습니다. ISMS-P 인증 대비 공부를 하시고 있다면 모의고사 과정을 통해 정리하고 합격을 하시기 바랍니다.,없음,없음,"₩330,000",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 06 - T4. 개인정보보호 법규 개정(2/2),"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 여섯번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T4. 개인정보보호 법규 개정(2/2)"" 입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩110,000",없음
ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 03 - T2. 인증기준2 (2/2),"ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 세 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T2. 인증기준2 (2/2)"" 입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩132,000",없음
"ISMS-P 인증심사원 자격검정 기본/실무 과정 시리즈 01 - T1. 인증제도, 인증기준1","ISMS-P 인증 심사원 자격검정의 입문부터 실무 활용까지 모두 담아낸 통합 과정 중 첫 번째 시리즈 ""ISMS-P 인증심사원 자격검정 기본/실무 과정 T1. 인증제도, 인증기준1"" 입니다. 실제 정보보호 실무 사례를 바탕으로 인증제도, 정보보호관리체계의 상세 업무도 습득할 수 있습니다.",없음,없음,"₩132,000",없음
프리다(Frida)를 이용한 안드로이드 앱 모의해킹,모의해킹 실무에서 활용되고 있는 프리다 (Frida)의 완벽 활용법을 배울 수 있습니다.,없음,없음,"₩77,000",없음
웹 서비스 해킹을 위한 버프스위트 완벽 활용 가이드,웹 취약점 분석 (해킹) 을 할 때 제일 많이 사용하는 도구는 웹 프록시(Web Proxy) 서버이다. 그 중에서 버프스위트(BurpSuite)를 많이 활용하게 된다. 버프스위트를 활용법을 정기적으로 업데이트 하여 웹 모의해킹에 도움이 될 수 있도록 기획하였다.,없음,없음,없음,없음
