과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
[2024] 실무에서 사용중인 AWS 클라우드 IAM 이해와 보안,"AWS 제로트러스트의 근간을 이루고 있는 IAM에 대해 가장 기초적인 부분부터 세부적인 내용까지 배울 수 있습니다. 이를 통해 실제로 어떤 부분이 취약할 수 있는지, 어디를 더욱 신경써야 하는지 배울 수 있습니다.",없음,없음,"₩88,000",없음
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",없음,없음,"₩88,000",없음
차이를 만드는 AWS 클라우드 보안 첫걸음,"AWS 클라우드, 왜 보안을 배워야 하는가?
클라우드 사용이 일반화되어 있는 지금, 클라우드 사용에 제일 기본이 되어야 하는 게 무엇일까요? 바로 보안입니다. 
클라우드에 저장된 데이터에 무단 침입하는 액세스와 누출을 막지 못한다면 
나와 회사가 맞닥뜨릴 손해는 이루 말할 수 없겠죠? 
이러한 사고를 막을 수 있도록 아마존의 AWS 클라우드를 사용하기 위한 기초 보안 지식을 알려 드립니다.",없음,없음,"₩110,000",없음
Python을 활용한 AWS FinOps 어플리케이션 제작,"Python을 활용하여 AWS FinOps 어플리케이션을 만들며, 어떻게 구조화를 하고, 왜 코드가 점점 어려워지는지 알아봅니다. 마지막엔 메타인지(?) 과정을 소소하게 즐기며 진행해봅니다.",없음,없음,없음,없음
마이크로넛 자바 클라우드 어플리케이션 제작,"자바 오라클 클라우드 네이티브 어플리케이션을 제작하면서 비동기 처리, I/O 처리, 고성능 웹 어플리케이션, 게다가 JIT 컴파일러 기술로 2배 이상의 빠른 어플리케이션 실행 처리로 네트워크 입력에 부하 없는 초고속 어플리케이션을 제작할 예정입니다.",없음,없음,"₩27,500",없음
AWS로 구축하는 MSA와 컨테이너 오케스트레이션,"이 강의에서는 각각의 서비스를 다루는게 아닌, 예제 이커머스 서비스에 AWS 서비스들을 도입해 개선해나갑니다. 
이를 통해 클라우드에 안정적으로 배포하고 운영하는 경험을 직접 해볼 수 있습니다!",없음,없음,"₩59,400",없음
DevOps를 위한 Docker 가상화 기술 (Private Harbor Registry),"본 강의는 Cloud Native Architecture를 구성하는 4가지 구성요소 중, 컨테이너 가상화 기술에 대해 학습하는 과정입니다. 
Microservice 애플리케이션을 배포하고 운영하기 위한 최선의 방법인 컨테이너 가상화라는 기술에 대한 기본적인 개념을 이해하고, 컨테이너 가상화 기술 중 가장 대중적으로 알려진 Docker 기술에 대해 다뤄보는 학습 과정입니다. MSA 형태로 개발 된 애플리케이션을 배포하고 운영하기 위해 필요한 필수적인 내용에 대해 이론 학습 뿐만 아니라, 관련된 실습 예제를 통해 실제 Docker 컨테이너가 어떻게 작동되는지에 대해 이해하실 수 있습니다. 
본 과정에서는 기존 다른 강의에서 다루지 않았던 Docker Security와 Logging 등과 같은 다양한 요소에 대해서도 학습할 수 있으며, 최종 실습 프로젝트에서는 Docker 기술과 연계될 수 있는 서비스(Harbor + Argocd)들을 구축하고 애플리케이션을 배포 함으로써 DevOps를 적용함에 있어 필요로 하는 핵심적인 운영 환경에 대해 실습해 볼 수 있습니다.",2일만,20%,"₩70,400","₩88,000"
"중급, 활용편 #1 DevOps : Infrastructure as Code with AWS and 테라폼","이 강의는 DevOps의 기본 이론과 함께 DevOps의 기본 중 하나인 Infrastructure as Code(IaC)에 대해 배울
수 있는 강의입니다. 본 강의를 통해 IT기반의 서비스를 DevOps관점에서 올바르게 이해하고, 서비스 운영을 위해 코드로 인프라를 정의하는 연습을 하실 수 있습니다.
강의를 마치게 되면, 서비스 운영을 위해 기본적으로 필요한 AWS 리소스를 Terraform이라는 도구를
통해 손쉽게 생성하고 관리하실 수 있습니다.
AWS는 반드시 코드로써 관리해야하기 때문에, AWS 의 기초 공부를 위해서도 해당강의는 필수입니다.",없음,없음,"₩66,000",없음
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",없음,없음,"₩77,000",없음
[2024 리뉴얼] 스스로 구축하는 AWS 클라우드 네트워크 - 기본편,"AWS의 주요 네트워크 서비스를 활용하여 간단한 클라우드 네트워크를 구축해보며 아키텍처에서의 트래픽 흐름을 이해하고, 실제 네트워크를 직접 구현할 수 있는 역량과 자신감을 함께 키워보도록 하겠습니다.",없음,없음,"₩44,000",없음
스스로 구축하는 AWS 클라우드 인프라 - 기본편,"AWS의 가장 기본적이고 핵심적인 주요 서비스들의 세부 기능과 옵션을 살펴보고 해당 서비스들을 활용하여 클라우드 아키텍처를 단계적으로 구현함으로써, 인프라의 구조와 작동 원리를 이해하고 클라우드 인프라를 직접 구축할 수 있는 역량과 자신감을 함께 키워보도록 하겠습니다.",없음,없음,"₩44,000",없음
CloudNet@와 함께하는 AWS 네트워킹 입문,"AWS 클라우드 입문자를 대상으로, AWS 클라우드 네트워크 기초 지식을 따라하며 배우는 실습 기반의 입문 강의입니다.",없음,없음,"₩61,600",없음
비전공자도 이해할 수 있는 Docker 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   Docker 입문/실전 강의를 만들어봤습니다!",7일만,30%,"₩53,900","₩77,000"
비전공자도 이해할 수 있는 AWS 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한 AWS 입문 강의를 만들어봤습니다!",7일만,30%,"₩46,200","₩66,000"
실리콘밸리 엔지니어와 함께하는 아마존 웹서비스(Core)편,"시스템 디자인과 아키텍처 공부 어떻게 하실지 막막하신가요?
초보자부터 전문가까지 다양한 레벨의 학습자를 위한 아마존 웹 서비스(Amazon Web Service, AWS) 강의! AWS에서 가장 많이 사용하는 Core 서비스 부분을 집중적으로 다루었습니다.",없음,없음,"₩49,500",없음
AWS(Amazon Web Service) 실전을 위한 강의,"AWS 입문자, 중/상급자를 위한 강의를 다 수강했음에도 아직 뭔가 부족하다고 느끼시나요? AWS 실전을 위한 강의가 바로 그런 분들을 위한 강의입니다.",없음,없음,"₩47,300",없음
[2024] 처음 시작하는 도커와 컨테이너,도커? 절대 어렵지 않습니다. 짧고 굵게 핵심만 설명합니다. 빠르게 익히고 응용하며 이해 해봅니다!,없음,없음,"₩44,000",없음
AWS 콘솔로 배우는 AWS 기초 및 설명 그리고 고수가 되기 위한 준비,"이 강의를 통해 AWS의 여러 서비스들 중 가장 많이 쓰이는 서비스들을 직접 콘솔로 만들어보고, 각 의미에 대해서 이해할 수 있습니다.
더불어 진짜 실력있는 엔지니어가 되기위한 준비, 기본기에 대해서 충실히 설명했습니다. 탄탄한 뿌리를 만들 수 있다고 장담할 수 있습니다.",없음,없음,"₩22,000",없음
개발자를 위한 쉬운 도커,"현업 개발자가 도커를 사용한 경험을 녹여낸 새로운 커리큘럼으로 기존 교재 및 강의와 차별된 강의를 제공합니다.
단순한 명령어 사용법이 아닌 도커를 왜 사용해야하는지 대한 근본적인 질문에서부터 출발합니다.",없음,없음,"₩88,000",없음
스타트업 성장과 함께하는 AWS 클라우드 아키텍쳐 올인원,3시간이 약간 넘는 짧은 시간 AWS에 대해 큰 흐름을 잡는 핵심만 녹였습니다. 우리가 스타트업을 창업하거나 AWS로 인프라를 관리하다 생기는 문제들을 실무 중심으로 해결해 나가는 과정을 통해 AWS의 다양한 기능들을 배우게 됩니다.,없음,없음,"₩99,000",없음
"실습으로 배우는 그라파나 - {{ x86-64, arm64 }}",그라파나(💥)를 가장 쉽고 빠르게 이해하기 위해 실습 위주로 구성했습니다. 🧭  특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 그라파나 자체를 더 깊이 학습하도록 작성하였습니다. 💯 또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 그라파나를 이와 같이 깊고 넓게 다룬 강의는 없다고 자신합니다!,7일만,25%,"₩74,250","₩99,000"
"쉽게 시작하는 쿠버네티스(v1.30) - {{ x86-64, arm64 }}","쿠버네티스(☸)를 정말 시작하는 단계에서 필요한 내용을 담았습니다. 🧭
이 강의를 통해 쿠버네티스를 가장 손쉽게 구조를 이해하며 시작할 수 있습니다. 🥇",7일만,25%,"₩44,550","₩59,400"
실무에서 꼭 필요한 서버 모니터링(Zabbix),"IT 인프라의 효과적인 모니터링을 위한 필수 도구인 자빅스의 기본적인 사용 방법부터 고급 기능까지 체계적으로 학습합니다. 
실제 적용 사례를 통해 자빅스를 활용한 모니터링의 전문가로 성장할 수 있는 기회를 제공합니다",없음,없음,"₩27,500",없음
따라하며 배우는 도커와 CI환경 [2023.11 업데이트],"이 강의를 통해 도커에 대해서 배울 수 있으며, CI 환경을 구성할 수 있습니다.",없음,없음,"₩49,500",없음
Azure Native로 나만의 GPT 만들기,"Azure의 여러 리소스들을 사용해서 여러분들만의 GPT를 만들고, 배포하는 강의입니다.

처음부터 끝까지! 아무것도 없는 백지에서 완전한 서비스를 배포해봅시다!",없음,없음,없음,없음
쉽게 설명하는 AWS 기초 강의,AWS 여정을 시작하기 위해 가장 필요한 내용을 담았습니다.,없음,없음,"₩88,000",없음
아주 쉽다 클라우드! AWS Lightsail 자습서!,"AWS Lightsail을 사용방법을 익혀 나만의 블로그, Todolist를 생성해보세요😊",없음,없음,"₩11,000",없음
처음 시작하는 Infrastructure as Code: AWS & 테라폼,"그 어떤 강의보다 정확하게 그리고 실무 베스트 프랙티스에 가깝다고 자부할 수 있습니다.
이 강의는 DevOps의 기본 이론과 함께 DevOps의 기본 중 하나인 Infrastructure as Code(IaC)에 대해 배울
수 있는 강의입니다. 본 강의를 통해 IT기반의 서비스를 DevOps관점에서 올바르게 이해하고, 서비스 운영을 위해 코드로 인프라를 정의하는 연습을 하실 수 있습니다.
강의를 마치게 되면, 서비스 운영을 위해 기본적으로 필요한 AWS 리소스를 Terraform이라는 도구를
통해 손쉽게 생성하고 관리하실 수 있습니다.
AWS는 반드시 코드로써 관리해야하기 때문에, AWS 의 기초 공부를 위해서도 해당강의는 필수입니다.",없음,없음,"₩38,500",없음
AWS Certified Solutions Architect - Associate 자격증 준비하기,이 강의를 통해 AWS Certified Solutions Architect - Associate 자격증 준비와 AWS 서비스에 대한 전반적인 내용을 배울 수 있습니다.,없음,없음,"₩148,500",없음
AWS Certified Cloud Practitioner 자격증 준비하기,이 강의를 통해 AWS Certified Cloud Practitioner 자격증 준비와 클라우드의 개념 및 AWS 서비스에 대한 전반적인 내용을 배울 수 있습니다.,없음,없음,"₩88,000",없음
실습으로 배우는 AWS(Amazon Web Services) 클라우드 컴퓨팅 입문,다양한 실습을 통해 Amazon Web Services(AWS) 클라우드 컴퓨팅의 원리와 핵심 서비스 사용법을 단계별로 차근차근 학습할 수 있는 강의입니다.,없음,없음,"₩55,000",없음
"실습으로 배우는 프로메테우스 - {{ x86-64, arm64 }}",프로메테우스(🔥)를 가장 쉽고 빠르게 이해하기 위해 실습 위주로 구성했습니다. 🧭 특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 프로메테우스 자체를 더 깊이 학습하도록 작성하였습니다. 💯 또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 프로메테우스를 이와 같이 깊고 넓게 다룬 강의는 없다고 자신합니다!,7일만,25%,"₩74,250","₩99,000"
"AWS 배포 완벽가이드 (feat. Lightsail, Docker, ECS)",이 강의에서는 Container Orchestration 대표기술중 하나인 AWS ECS를 배우게됩니다! Github Action으로 CICD도 구축합니다. 하지만 처음부터 ECS를 배우지 않아요. ECS는 DevOps 끝판왕이라고 할 수 있어서 너무 어렵게 느껴질 수 있거든요. 그래서 강의 초반에는 전통적인 가상서버 중에서도 비교적 learning curve가 낮은 AWS Lightsail로 기본기를 먼저 다집니다. 기존 방식의 한계점과 불편한점들도 체감할 수 있어요. 이렇게 기본기와 “Why”로 빌드업을 해서 자연스럽게 Docker Container와 ECS를 배우게 됩니다!,없음,없음,"₩77,000",없음
MS Azure 애저 클라우드 서비스 구축 이해와 보안,"IT 서비스가 클라우드 환경으로 빠르게 전환되고 있습니다. MS 애저 클라우드 환경 보안을 위해 알아야 할 기본적인 가상 인프라 구축부터, 각 영역별 서비스 운영, 모니터링 이해, 보안 영역까지 담았습니다.",없음,없음,"₩198,000",없음
구글클라우드(GCP) 플랫폼 기초 활용법,이 강의에서는 구글 클라우드 플랫폼(GCP)를 처음 배우고자 하는 분들께 서비스의 종류를 설명해주고 실습하는 과정을 담았습니다. 클라우드 서비스를 이용한 자원 등록부터 서비스 활용까지 이 강의로 기본 지식을 배워가시기 바랍니다.,없음,없음,"₩33,000",없음
데브옵스(DevOps)를 위한 쿠버네티스 마스터,"컨테이너 기반 오픈 소스 가상화 프로젝트인 ""쿠버네티스""를 이용한 컨테이너 환경의 분산 시스템을 탄력적으로 실행하기 위한 프레임 워크를 활용하는 방법을 입문부터 활용까지 다룹니다.",없음,없음,"₩330,000",없음
하루만에 배우는 aws 서버리스,👩🏻‍💻 하루만에 배우는 aws serverless 강의 입니다. 실제 CRUD REST API 결과물을 손에 쥐고 돌아갈 수 있어요.,없음,없음,"₩19,800",없음
AWS(Amazon Web Service) 입문자를 위한 강의,요즈음 회사 및 다양한 프로젝트에서 종종 사용되는 AWS 서비스들의 핵심 이론을 배우며 뿐만 아니라 함께 따라하는 실습을 통하여 AWS를 온전히 내것으로 만들자!,없음,없음,"₩44,000",없음
99% J형 엔지니어와 함께하는 AWS EKS와 GitLab CI/CD 기초 완벽 정복,이론적인 내용만 학습하는 것 보다 현업 CI/CD 업무의 전체적인 큰 틀을 직접 구성해보면서 본질을 보는 역량을 키울 수 있는 강의입니다.,없음,없음,"₩99,000",없음
"그림으로 배우는 쿠버네티스(v1.30) - {{ x86-64, arm64 }}","쿠버네티스(☸)의 많은 부분을 그림으로 배울 수 있도록 구성되어 있습니다. 🧭
특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 쿠버네티스 자체를 더 깊이 학습하도록 작성하였습니다. 💯
또한 실무적인 내용들이 '보강 수업'에 주기적으로 추가되어 있습니다. 👉 꼭 다른 강의와 비교해 보세요 :)",7일만,25%,"₩148,500","₩198,000"
CloudNet@와 함께하는 Amazon EKS 기본 강의,"Amazon EKS 초급 사용자를 대상으로, AWS 관리형 쿠버네티스 서비스인 Amazon EKS의 기초를 다루는 강의입니다.",없음,없음,"₩118,800",없음
클라우드 입문자를 위한 AWS 핵심 서비스 이해와 실습,Amazon에서 운영하는 공용 클라우드 플랫폼인 AWS 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 8월 기준 최신 인터페이스) AWS 클라우드의 이론과 실습 역량을 균형감 있게 갖춰보세요.,없음,없음,"₩132,000",없음
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,마이크로소프트에서 운영하는 공용 클라우드 플랫폼인 Azure 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 3월 기준 최신 인터페이스) Azure의 이론과 실습 역량을 균형감 있게 갖춰보세요.,없음,없음,"₩110,000",없음
Terraform 배포 가이드,현 시점 코드형 인프라스트럭처(IaC) 끝판왕 Terraform! Azure 서버에 Github Action을 사용해 자동 배포를 완성해봅시다,없음,없음,"₩52,800",없음
Docker를 이용한 MSA 애플리케이션 만들기,"Docker와 Docker compose 그리고 Traefik 서버를 이용하여 MSA 배달 애플리케이션을 개발합니다. 또한 개발에 필요한 MSA, Proxy Server, Load Balancer, API Gateway 등 이론적인 지식까지 체계적으로 학습합니다. 모든 학습 과정은 실습 중심으로 구성되며, 이를 통해 Docker 기반의 애플리케이션 개발에 자신감을 가지게 될 것입니다.",없음,없음,"₩49,500",없음
쿠버네티스 101 - 클라우드/서버 개발 첫걸음,실습을 통해 쿠버네티스의 핵심 개념과 마이크로 서비스 아키텍처의 원리를 이해합니다.,없음,없음,"₩44,000",없음
초보를 위한 도커 안내서,"도커를 1도 모르는 입문자, 초보자분들을 위한 도커 안내서입니다. 복잡한 내용을 제외하고 도커가 왜 인기가 많고 어떻게 사용하는지 빠르게 익힐 수 있도록 집중하였습니다.",없음,없음,"₩29,700",없음
아마존 클라우드 무료계정으로 시작하는 서버리스 애플리케이션 프로젝트,아마존 클라우드 무료 계정을 이용하여 물리적인 서버/네트워크 설비 관리 없이 웹 API와 백엔드 로직을 구축하고 HTML/CSS/Javascript 웹사이트와 통합하는 과정을 간단한 칸반 프로젝트를 통해 학습합니다.,없음,없음,"₩44,000",없음
진짜 입문자를 위한 클라우드와 AWS,"이 강좌를 통해 컴퓨터, 인터넷의 원리를 이해하고 클라우드가 무엇인지, 왜 필요한지 설명할 수 있게 됩니다.
AWS의 기초 강좌인 Tech 이센셜이나, AwsomeDay 등이 어려웠던 분들, 또는 해당 강의를 수강 예정이신 분들에게 추천합니다.",없음,없음,"₩22,000",없음
진짜 입문자를 위한 클라우드와 AWS,"이 강좌를 통해 컴퓨터, 인터넷의 원리를 이해하고 클라우드가 무엇인지, 왜 필요한지 설명할 수 있게 됩니다.
AWS의 기초 강좌인 Tech 이센셜이나, AwsomeDay 등이 어려웠던 분들, 또는 해당 강의를 수강 예정이신 분들에게 추천합니다.",없음,없음,"₩22,000",없음
클라우드 서비스 AWS,이 수업은 클라우드 서비스인 AWS(Amazon Web Services)의 기본적인 사용법과 파일의 저장공간을 제공하는 S3를 다루고 있는 수업입니다.,없음,없음,없음,없음
아마존 AWS 입문,"4차 산업혁명을 이끄는 대세, 클라우드 컴퓨팅! 아마존 AWS 입문 강의로 누구나 손쉽게 클라우드 컴퓨팅을 시작해보세요.",없음,없음,"₩49,500",없음
실전! GitHub Actions으로 CI/CD 시작하기,"깃헙 액션을 실전에서 효과적으로 활용하고 싶으신가요 ? 이 강의는 실용적인 CI/CD 시나리오, 모듈화 및 버전 관리 방법을 소개하며, 클라우드 환경에서의 배포 방법도 함께 알려드립니다. 실무 경험을 바탕으로 한 가장 현실적인 깃헙 액션 활용법, 함께 배워봅시다!",없음,없음,"₩55,000",없음
NAVER Cloud Boot Camp - 네이버 클라우드 부트 캠프,"네이버 클라우드 플랫폼은 클라우드 컴퓨팅과 인공지능, 빅데이터 등 다양한 기술과 서비스를 제공하는 클라우드 플랫폼입니다. 이를 통해 사용자는 보다 안정적이고 확장성 있는 클라우드 환경을 구축하고, 다양한 기술과 서비스를 활용하여 비즈니스를 성장시킬 수 있습니다.",없음,없음,"₩77,000",없음
AWS Boot Camp - AWS로 클라우드 시작하기,"AWS(Amazon Web Services)를 처음으로 사용하는 사람을 위해 인프라 구축 경험이 적은 또는 이제 시작하는 클라우드 입문자를 대상으로 AWS의 서비스와 사용법, 구축, 네트워크, 보안, 운용 등 AWS 및 클라우드의 기본 개념과 사용법을 설명합니다.",없음,없음,"₩53,900",없음
뜬구름 잡지 말고 클라우드 제대로 이해하기,"알듯 말듯 한 클라우드, 이제 제대로 알고 똑똑하게 활용하자!
구글 드라이브, 네이버 MYBOX 등 친숙하지만 제대로 알고 있지는 않은 클라우드. 왜 클라우드가 활성화되고 있는지 클라우드에 대해 제대로 이해하면 더 똑똑하게 활용할 수 있습니다. 
특히 기업에서 DT(디지털전환) 등을 목적으로 기존 IT 환경을 클라우드로 전환할 때 다양한 요소들을 고려해야 하는데요. 
본 과정을 통해 합리적인 이관 및 비용 설계 방법 등을 하나씩 알아봅니다.",없음,없음,"₩121,000",없음
실습으로 배우는 AWS 핵심 서비스,"많은 분들이 요청하셨던 AWS 학습하기 시리즈 두 번째 강좌입니다. 
AWS의 필수 / 핵심 서비스들을 활용하는 방법에 대해 익힙니다.",없음,없음,"₩77,000",없음
초보자도 쉽게 하는 GCP,"GCP를 활용한 웹 애플리케이션 인프라를 구축해 봅니다. GCP 관련 학습 자료가 국내에 많이 없는 만큼, GCP에 관심 있는 분들에게 도움이 될 수 있기를 바랍니다.",없음,없음,없음,없음
Azure 기초 (AZ-900),"Azure 기초에 대해 학습합니다.
AZ-900 (Azure Fundamentals) 시험을 응시하려는 분에게 유익합니다.",없음,없음,"₩29,700",없음
Azure 가상컴퓨터 - 초급,"본 강의에서는 Azure 가상 컴퓨터에 대한 기초 지식을 습득할 수 있으며
워크로드에 따른 가상 컴퓨터 디자인과 관리 방법에 대하여 배울 수 있습니다.",없음,없음,"₩9,900",없음
나도 AWS에 서버 구축해보자!,localhost 접속은 그만! 나도 AWS에 배포 한 번 해보자!,없음,없음,없음,없음
초보자를 위한 AWS 클라우드 시작하기,AWS 초보자 및 AWS Educate 가입 대학생을 위한 시리즈 동영상 강의입니다. AWS 가입 절차 및 프리티어 서비스에 대해 간단히 소개해 드립니다.,없음,없음,없음,없음
"서버 없이 쓰는 서버, 구글 Cloud Functions","서버 없이 쓰는 서버, 구글의 Serverless BaaS(Backend as a Service) 대표 솔루션인 Cloud Functions를 이용해서 프로젝트에 사용할 수 있는 예제를 실습과 같이 배우는 과정입니다.",없음,없음,"₩55,000",없음
IBM Cloud를 이용한 무료 마인크래프트 서버 만들기,"IBM Cloud에서 제공하는 무료 Kubernetes 클러스터를 사용하여, 언제 어디서든 접속이 가능한
마인크래프트 서버를 만들 수 있는 방법에 대해서 소개합니다.",없음,없음,없음,없음
제발 도커 씁시다!,"💆‍♀️이렇게 쉽게 도커를 설명해주는 강좌가 있었다니...
이제 도커를 왜 쓰는지 알겠어!",없음,없음,"₩38,500",없음
게임 개발을 위해 알아야 할 Azure CDN,Azure CDN을 이용하여 컨텐츠를 배포하는 방법에 대한 강의입니다.,없음,없음,없음,없음
