과목명,강의 내용,원래 가격
실무자가 알려주는 CANoe - CAPL과 Panel 기본 사용법,"자동차 회사에서 널리 사용되는 툴, Vector社의 CANoe. CAPL과 Panel을 활용하여 업무에 보다 효율적으로 사용해봅시다.",무료
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리",혼자서 서비스 개발과 운영 전반을 소화할 수 있는 슈퍼 개발자로 오랫동안 활동하고 싶다면? 다양한 개발 언어 못지 않게 중요한 IT 인프라 지식을 기초부터 탄탄히 다져보세요!,무료
Spring Boot를 활용하여 채팅 플랫폼 만들어보기,"Spring Boot를 활용하여 JWT, ws 통신에 대해서 학습하며, 대용량 TPS를 처리하는 방법에 대해서 학습하실 수 있습니다.",무료
1000만 Traffic을 견디며 적용한 RPC 통신에 대해 학습하고 구현해보기,"해당 강의에서는 실제 실무에서 사용을 하는 RPC, gRPC통신을 구현하여, 서버간 통신에 대한 리소스를 줄이는 방법에 대해서 다루게 됩니다.",무료
왕초보를 위한 네트워크 기초,"이야기로 배우는 네트워크 기초, 이보다 더 쉽게 네트워크 기초를 배울 수는 없습니다. 정말 쉬운 네트워크 기초 강의입니다. 그리고 강의를 모두 수강하면 네트워크에 대한 기본적인 이해는 끝납니다!",무료
BHPT - 호스트 기반 모의해킹 기초,"실제 공격자들이 사이버 공격을 어떻게 진행하는지 궁금하셨었나요? BHPT는 온-디맨드(On-demand) 랩(Lab)을 활용해 특정 호스트를 대상으로 공격자의 입장에서 모의해킹을 진행해 취약점을 발견, 공격, 보고, 대응 하는 방법론을 배우는 실습 위주의 종합 강의입니다.",무료
쿠버네티스 어나더 클래스 (지상편) - Sprint3,"⚓쿠버네티스, 🙇‍♀️아직 망설이시나요? 🙋‍♂️저만 믿고 따라오세요! 당신의 실력을 ⭐어나더 레벨로 만들어 드리겠습니다.",무료
이득우의 언리얼 프로그래밍 Part3 - 네트웍 멀티플레이 프레임웍의 이해,"또 하나의 언리얼 엔진이라고도 불리는 네트웍 멀티플레이어 프레임웍을 학습합니다. 네트웍 멀티플레이어 게임을 제작할 때 반드시 알아야 하는 주요 개념, 내부 동작 원리, 최적화 기법을 학습한 후 핵&슬래시 유형의 PvP 대전 게임을 제작합니다.",무료
정보보호시스템 구축 이해,"초급자를 위해 준비한
[자격증 및 실무 (보안 · 네트워크), 보안] 강의입니다.",무료
24년 개인정보보호법 시행령 개정 해설 강의,"'24년 개인정보보호법 시행령 개정에 따른 ISMS-P, CPPG 자격증, 개인정보보호 실무에 대응할 수 있습니다.",무료
STM32 CAN 통신,STM32 MCU를 이용하여 CAN 통신을 구현하는 방법에 대해 설명하는 텍스트 형태의 강의입니다. CAN 통신 구현의 마스터가 되어보세요.,무료
언리얼 네트워크,"언리얼 엔진에서 제공하는 네트워크 프레임워크의 구성을 이해합니다.
서버, 클라이언트, 리플리케이션, RPC가 무엇이며 어떻게 작동하는지 이해합니다.
언리얼 프레임워크를 이용하여 네트워크 게임을 제작할 수 있습니다.",무료
네이버클라우드 보안 아키텍처 및 비용,이 강의를 통해 네이버 클라우드의 보안 아키텍처 구축 및 예상 운영 비용을 파악 할 수 있습니다.,무료
OpenStack을 활용한 클라우드 환경 구축하기,"전 세계적으로 유명한 클라우드를 이해하고, 직접 클라우드 환경을 구축하고 쉽게 사용할 수 있는 역량을 강화하는 교육입니다.",무료
"컴퓨터 과학 (7): 웹응용 - 네트워크, 클라우드, WWW, 정보 보안","✅ 전체 (1) ~ (7)의 시리즈 중, (7) 웹응용, 네트워크, 클라우드, WWW, 정보 보안 ✅ CS101 시리즈 강의 - 컴퓨터의 기초 이론부터 ✅최신 실전 예제까지 - 폭넓은 기초 지식 제공",무료
"컴퓨터구조, 네트워크 기본 개념 정리","이강의를 통해 수강생은 컴퓨터의 구조, 네트워크의 전반적인 개념과 흐름을 알 수 있습니다.",무료
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",무료
네트워크 패킷 분석 입문 및 악성코드 샘플 분석,"악성코드가 배포되는 시점에 제일 어려운것은 스크립트 난독화입니다. 난독화 기법에 대해 이해를 하고, 이를 복호화 한 후에 배포되는 악성코드 실행파일을 분석해보세요",무료
아두이노와 떠나는 사물인터넷 여행 - 아두이노 입문부터 IoT 중급까지!,"아두이노? 코딩? 아무것도 몰라도 좋아요.
쉬는 시간 조금만 투자하면 감탄할 일이 생겨납니다.",무료
시스코 네트워킹 아카데미: 사물인터넷 기초,"이 강의를 통해 IoT의 가치와 IoT가 우리의 삶과 사회를 어떻게 바꾸는지를 이해할 수 있습니다. IoT 장치 프로그래밍, IoT 장치 연결 기술, 빅데이터 분석 및 자동화에 대한 기초를 다질 수 있습니다. 디지털 트랜스포메이션에 대한 이해와 더불어 이것이 기업과 사회에 미치는 영향을 이해할 수 있습니다.",무료
'이것이 리눅스다' 저자의 Red Hat CentOS7 리눅스 서버&네트워크 강좌,한빛미디어에서 발간한 '이것이 리눅스다' 의 저자가 직접 강의하는 강좌 입니다.,무료
서버와 인터넷 그리고 데이터 이야기,우리가 매일같이 접속하는 사이트는 어떻게 동작하고 있는 것일까요? 본격적인 데이터 공부에 앞서 IT의 배경 지식이 되는 서버와 인터넷에 대해 알아보는 시간을 가져봅니다.,무료
ChatGPT 100% 활용하여 배우는 파이썬 네트워크 프로그래밍 A to Z,"파이썬과 ChatGPT를 100% 활용하여 네트워크 프로그래밍을 처음부터 배웁니다. 지루한 개념 설명보다는 실습을 통해 수강생들이 직접 네트워크 코드를 작성하고, 작성한 프로그램이 어떻게 동작하는지 직접 확인하는 데 초점을 맞추고 있습니다. 기본적인 네트워크 실습부터 실무에서 적용 가능한 네트워크 기술까지 습득할 수 있으며, 다양한 프로토콜과 도구를 다루는 실습을 통해 깊이 있는 이해와 실력을 쌓을 수 있습니다. 또한, ChatGPT를 활용함으로써, 수강생들은 어려움과 지루함을 느끼지 않고, 기억에 오래 남는 학습 경험을 할 수 있습니다.",무료
그림으로 쉽게 배우는 네트워크,이 강의를 통해 마법만 같던 인터넷이 어떻게 동작하는지 이해할 수 있습니다.,무료
[2024 리뉴얼] 스스로 구축하는 AWS 클라우드 네트워크 - 기본편,"AWS의 주요 네트워크 서비스를 활용하여 간단한 클라우드 네트워크를 구축해보며 아키텍처에서의 트래픽 흐름을 이해하고, 실제 네트워크를 직접 구현할 수 있는 역량과 자신감을 함께 키워보도록 하겠습니다.",무료
대용랑 채팅 TPS에 대한 stateful 서비스 구축하기,"치지직, 아프리카TV 등 stateful 서비스에 대해서 어떻게 서버를 구축하고, 무중단 배포가 진행이 되는지 모든것을 알려드립니다.",무료
CloudNet@와 함께하는 AWS 네트워킹 입문,"AWS 클라우드 입문자를 대상으로, AWS 클라우드 네트워크 기초 지식을 따라하며 배우는 실습 기반의 입문 강의입니다.",무료
[2024] 처음 시작하는 도커와 컨테이너,도커? 절대 어렵지 않습니다. 짧고 굵게 핵심만 설명합니다. 빠르게 익히고 응용하며 이해 해봅니다!,무료
개념부터 철저한 gRPC! (with Python),최근 많이 보이는 gRPC! 모르는 Go언어가 아니라 쉬운 Python으로 배워봅시다!,무료
실습으로 배우는 핵심 네트워크 기술,패킷트레이서 실습을 통해서 네트워크의 기본을 단단히 다지는 네트워크 초급과정입니다.,무료
웹/네트워크/HTTP 베이스캠프 for developer,"개발자라면 누구나 알아야 할 웹, 네트워크, 그리고 HTTP의 기초에 대해 코드 기반, 실제 이동하는 데이터 기반으로 학습합니다.",무료
비전공자도 쉽게 구성하는 MSA 서비스 모니터링 대시보드,해당 강의에서는 OpenTracing을 활용하여 다양한 애플리케이션 간 분산 추적을 하는 방법에 대해서 학습 하시게 됩니다.,무료
"비전공자의 전공자 따라잡기 - 네트워크, HTTP","HTTP를 다루는 개발자이거나 개발자가 되고 싶은데 컴퓨터 학과를 전공하지 않아 네트워크가 약하신 분들, 이 강좌 하나로 평생 지식을 얻어가세요!",무료
인프라공방 - 그럴듯한 서비스 만들기,"본 과정은 현업과 비슷하게, 인프라를 구성해가며 필요한 지식을 학습하고 적용하는 단계로 진행합니다.",무료
대용량 채팅 TPS 처리를 위한 웹소켓 통신 만들며 학습하기,"아프리카, 네이버(치지직), 트위치 이러한 스트리밍 플랫폼에서 사용하는 채팅서버를 위한 웹소캣 통신에 대해서 알아보고 실제로 구현을 하는 강의 입니다.",무료
실무에서 꼭 필요한 서버 모니터링(Zabbix),"IT 인프라의 효과적인 모니터링을 위한 필수 도구인 자빅스의 기본적인 사용 방법부터 고급 기능까지 체계적으로 학습합니다. 
실제 적용 사례를 통해 자빅스를 활용한 모니터링의 전문가로 성장할 수 있는 기회를 제공합니다",무료
"네트워크, 그림으로 이해하자","네트워크, 그림으로 쉽게 이해할 수 있습니다.
'그림'과 '애니메이션'으로 여러분의 시간을 절약하세요!",무료
네트워크 비전공자의 이야기,비전공자의 입장에서 만들어가는 강의라 모자랄 수도 있습니다. 하지만 비전공자이기에 무엇이 이해하기 어려웠는지는 더 잘 알지도 모릅니다.,무료
CloudNet@와 함께하는 Amazon EKS 기본 강의,"Amazon EKS 초급 사용자를 대상으로, AWS 관리형 쿠버네티스 서비스인 Amazon EKS의 기초를 다루는 강의입니다.",무료
키워드와 실습으로 읽는 웹 프론트엔드 기초개념 총정리,"웹 개발 입문자를 위한 나침반, 당신이 웹 프론트엔드에 대해 모르는 것을 발견하고 체계적으로 나아가기 위한 가이드 강의입니다.","₩22,000"
클라우드 입문자를 위한 AWS 핵심 서비스 이해와 실습,Amazon에서 운영하는 공용 클라우드 플랫폼인 AWS 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 8월 기준 최신 인터페이스) AWS 클라우드의 이론과 실습 역량을 균형감 있게 갖춰보세요.,무료
IT 활용자를 위한 MS Azure 2023 클라우드 서비스 입문과 실습,마이크로소프트에서 운영하는 공용 클라우드 플랫폼인 Azure 클라우드 서비스를 학습하는 과정입니다. 클라우드 관련 기본적인 개념과 용어를 강의를 오랜 경력의 검증된 강사를 통해 수강하고 핵심 기술에 대한 강사의 시연을 최신 버전으로 전달함으로써 영상과 동일한 결과를 확인할 수 있도록 정리하였습니다. (2023년 3월 기준 최신 인터페이스) Azure의 이론과 실습 역량을 균형감 있게 갖춰보세요.,무료
2023년 개인정보보호 법령 제개정 내용 강의,"2023년 최신 개인정보보호법 관련 법령을 파악하여 ISMS-P, CPPG 자격증 준비 및 개인정보보호 실무에 대비하세요.",무료
안전한 홈 네트워크를 위한 보안강화: 홈 네트워크 보안을 위한 첫 걸음,"최근 사회에 충격을 준 월패드 해킹 이슈로 인해 홈 네트워크 보안의 필요성이 강조되고 있습니다.
홈 네트워크 보안의 움직임을 이해하고, 보안성을 강화하기 위한 방안을 학습할 수 있습니다.
(이후 정책이나 제도 등의 제·개정으로 인해 내용이 변경될 수 있습니다.)",무료
[보안] Wazuh+ELK(SIEM)를 활용한 위협헌팅(Threat Hunting) 시스템 구축 및 운영실습 (기초),[보안 전문가를 위한 교육] Wazuh와 ELK 스택을 결합하여 최적의 위협헌팅 시스템을 직접 구축하고 운영하는 방법을 마스터하세요. 현장에서 바로 적용 가능한 전략과 실습을 통해 보안 능력을 한 단계 업그레이드합니다!,무료
국가공인 산업보안관리사(ISE) 자격증 대비,디지털 시대로 전환되면서 보안에 대한 이슈는 끊임없이 증가해 왔습니다. 산업보안의 중요성과 해당 위협으로부터 침해 사고가 발생하지 않도록 하기 위한 방법과 지식에 대해 학습함으로써 국가공인 산업보안 관리사를 동시에 대비할 수 있도록 구성하였습니다.,무료
20년 경력자의 알기쉬운 컴퓨터네트워크,컴퓨터 네트워크의 이론을 학습합니다. 시뮬레이션 프로그램을 사용하여 네트워크를 직접 구성해봄으로써 네트워크에 대해서 확실하게 공부해보세요.  설명이 잘 되어 있는 강의 자료를 제공합니다.,무료
5G 네트워크 이해하기,"5G 네트워크에 대해 전반적으로 살펴보며 이해하는 과정입니다. 1G부터 5G까지의 진화과정을 살펴보고, 5G RAN 및 5GC를 포함하는 네트워크의 특징 및 아키텍쳐에 대해 함께 학습합니다.",무료
웹 개발자라면 꼭 알아야 할 보안 기초,"정보 보안은 어렵고, 너무 전문적인 내용이라고요? 아니요. 지금 당장 안전한 웹을 만들어 갈 수 있는 정보 보안 기초를 시작해 보세요!",무료
IT보안을 위한 와이어샤크 네트워크 패킷 분석 실전,"침해사고 분석과 취약점 분석을 할 때 네트워크 패킷 분석은 필수다. 그 중에서 와이어샤크를 제일 많이 활용하고 있으며, 이 강의에서는 와이어샤크 완벽한 활용법과 침해사고 분석 사례를 다루며 이해하는 시간을 가진다.",무료
누구나 시작할 수 있는 네트워크 Step 3 (네트워크 만들기),"네트워크 이론은 알고 있지만, 실제로 구축하려고 하면 어려움을 겪는 분들께 네트워크 구축 및 설정을 위한 기본적인 방법에 대해 알려드립니다.",무료
누구나 시작할 수 있는 네트워크 Step 1 (네트워크 모델),"네트워크의 니은자도 몰라도 배울 수 있는 네트워크 기초 강의의 첫번째 스텝 ""네트워크 모델"" 편입니다.",무료
[에듀윌 화이트해커 양성과정] 네트워크 이론,"보안 전문가가 되기 위해 꼭! 거쳐야 할 필수 과목, Hack&Hat 분석의 기본 지식을 소개합니다.",무료
누구나 시작할 수 있는 네트워크 Step 2 (서브넷팅),네트워크 구성도 만들거나 읽을 때 필요한 서브넷팅에 대한 강의입니다.,무료
C# 네트워크 프로그래밍,C# 언어에 대한 사항을 마치고 C#을 이용하여 컴퓨터 또는 각종 기기를 연결할 수 있는 네트워크에 대한 강의입니다.,무료
