과목명,강의 내용,원래 가격
8시간 완성 SQLD(2과목),8시간 안에 끝내는 SQL 기본 및 활용 이론부터 노랭이 전문제 풀이까지,무료
테스트 with Jest: 제로초에게 제대로 배우기,"본 강의에서는 테스트가 필요한 경우와 테스트를 할 때의 장점을 Jest 프레임워크를 통해 보여드립니다. 리액트, Express 등에 유닛테스트, 통합테스트를 적용해봅니다.","₩44,000"
비전공자도 이해할 수 있는 Docker 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   Docker 입문/실전 강의를 만들어봤습니다!","₩77,000"
[풀스택 완성] Supabase로 웹사이트 3개 클론하기 (Next.js 14),풀스택 개발에 날개를 달아줄 Supabase! 3가지의 클론 프로젝트를 통해 Next.js 14와 Supabase로 실무 수준의 풀스택 개발을 하는 법을 속성으로 배우게 됩니다.,"₩77,000"
비전공자도 이해할 수 있는 CI/CD 입문·실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   CI/CD 입문 강의를 만들어봤습니다!","₩77,000"
코드로 배우는 React with 스프링부트 API서버,"스프링 부트(Spring Boot ver3.1(3.2 호환))로 제작되는 API 서버와 리액트의 연동 프로젝트 완성하기!
포트폴리오 작성 부트캠프 과정 전체를 강의로 제작","₩77,000"
디자인 시스템 with 피그마,이 강의를 통해 디자인 시스템을 구축하고 내 디자인 작업물이 가지는 폭발적인 시너지를 느껴보세요.,"₩44,000"
모바일 웹 퍼블리싱 포트폴리오 with Figma,퍼블리셔 취업과 퍼블리셔 실무에서 가장 경쟁력이 있는 모바일 웹 제작 능력을 향상할 수 있습니다. 퍼블리셔로서 모바일 웹을 제작하기 위한 거의 모든 제작 방법과 노하우를 다질 수 있습니다. 특히 요즘 퍼블리셔와 개발자에게 요구되는 디자인 능력을 피그마(Figma) 학습으로 많은 부분 커버할 수 있도록 피그마(Figma)로 모바일 웹 UI 디자인 작업을 하는 과정도 상세하게 설명하였습니다. 모바일 웹 퍼블리싱 수업에서 가장 강점인 부분인 HTML 와이어프레임 상세한 작성법을 모든 페이지 하나하나 상세하게 설명합니다. 강의를 통해 HTML 와이어프레임 제작 능력이 크게 향상될 것입니다. 모바일 웹 퍼블리싱은 CSS 변수(Var) 활용한 모바일과 태블릿에 맞춘 레이아웃을 완벽하게 맞추는 학습을 통해서 실무 작업과 대동소이한 정도의 작업 능력을 갖추게 됩니다. Flex 레이아웃을 중심으로 중상급 CSS 실전 능력을 충분히 갖추시게 됩니다.,"₩105,600"
Nix NixOS 강의 (기본 설치/설정편) part 1,"맥,ms윈도우,NixOS,모든리눅스,시놀로지NAS 에 Nix를 설치해 동일한 최신 app 개발환경 만들기","₩33,000"
카페 24 베스트 쇼핑몰 디자인 클론코딩하기 (HTML + CSS),"카페 24에 올라온 베스트 쇼핑몰 디자인을 직접 클론코딩해보며
빠르게 HTML과 CSS를 학습할 수 있습니다. HTML + CSS에 대한 기본적인 이론을 학습하고 직접 클론코딩을 통해 쇼핑몰 디자인을 완성하여 이론에서 배웠던 내용을 적용하고 견고하게 HTML과 CSS의 틀을 잡을 수 있게 강의를 구성했습니다","₩33,000"
쉽고 재미있게 배우는 [CSS3 스타일부터 인터렉티브 웹제작까지] 부트캠프,"초등학생 코딩교육부터 시작하여 IT소프트웨어학과의 고등학생, 컴공과 대학생, 비전공자인 취준생을 대상으로 15년 넘게 코딩교육에 전념해온 현직 스타강사 영코디 킴쌤의 쉽고 재미있는 코딩강의를 이제 오프라인 뿐만 아니라 온라인에서도 만나실 수 있습니다.
500여명이 넘는 프론트엔드, 백엔드, 풀스택, 웹 개발자를 배출해온 영코디 킴쌤과 함께라면 당신의 개발자 꿈도 곧 현실이 됩니다!","₩154,000"
제대로 파는 Git & GitHub - by 얄코,"코알못도 따라올 수 있는 친절하고 쉬운 강좌!
현업 개발자는 Git 박사로 들어주는 끝판왕 강좌!",무료
비전공자를 위한 진짜 입문 올인원 개발 부트캠프,"왕초보도 할 수 있는 웹, 서버, 모바일 앱, 머신러닝까지 익히는 끝판왕 풀스택 강의!!
개발을 어디서부터 시작할지 막막했다면 이 강의를 강력 추천할게요. Javascript 하나로 진행합니다!","₩143,000"
스프링 핵심 원리 - 기본편,"스프링 입문자가 예제를 만들어가면서 스프링의 핵심 원리를 이해하고, 스프링 기본기를 확실히 다질 수 있습니다.",무료
오브젝트 - 기초편,"책임 주도 설계 방법으로 대표되는 객체지향 설계 방법을 학습하고 응집도, 결합도, 캡슐화 관점에서 설계를 트레이드오프하는 방법을 살펴봅니다.","₩110,000"
프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),"이미 2만명 이상이 학습하고 만족한 최고의 프로그래밍 입문 강의.
인프런이 비전공자 위치에서 직접 기획하고 준비한 프로그래밍 입문 강의로, 프로그래밍을 전혀 접해보지 못한 사람부터 실제 활용 가능한 프로그래밍 능력까지 갈 수 있도록 도와주는 강의입니다.",무료
김영한의 실전 자바 - 기본편,실무에 필요한 자바 객체 지향의 핵심 개념을 예제 코드를 통해 쉽게 학습합니다.,무료
"[2024] Git & GitHub, 원리부터 차근차근 - 근본깃","원리부터 차근차근 배우고, 오류 99%를 직접 해결하기.",무료
CPPG 개인정보관리사 자격증 취득하기 (개정안 반영),최신 법 개정안을 반영하고 최근 출제 경향을 반영하여 제작하였습니다. 개인정보에 대한 이해가 없으셔도 가장 쉽게 이해할 수 있도록 알려드릴 예정입니다. 믿고 따라오세요!,"₩77,000"
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료
자바 ORM 표준 JPA 프로그래밍 - 기본편,"JPA를 처음 접하거나, 실무에서 JPA를 사용하지만 기본 이론이 부족하신 분들이
JPA의 기본 이론을 탄탄하게 학습해서 초보자도 실무에서 자신있게 JPA를 사용할 수 있습니다.",무료
모든 개발자를 위한 HTTP 웹 기본 지식,실무에 꼭 필요한 HTTP 핵심 기능과 올바른 HTTP API 설계 방법을 학습합니다.,무료
넓고 얕게 외워서 컴공 전공자 되기,"넓고 얕게 외워서 컴퓨터 공학 전공자가 되고 싶은 모든 비전공 초보자를 위한 강의입니다. 컴퓨터 구조, 운영체제 등 컴퓨터 공학 전공 필수과목에서 어떤 것을 배울 수 있는지 빠른 시간에 알 수 있습니다. 무엇보다 외워서라도 끝낼 수 있습니다!",무료
[2024 최신] [코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,무료
2주만에 통과하는 알고리즘 코딩테스트 (2024년),"단 2주 분량의 강의로 알고리즘을 쉽게 만들어 드리겠습니다. 우리는 편해지기 위해서 컴퓨터를 사용하는 건데, 여러분은 왜 컴퓨터를 위해서 많은 시간을 사용하시나요?",무료
10주완성 C++ 코딩테스트 | 알고리즘 코딩테스트,"네이버, 카카오, 삼성의 코딩테스트를 10주만에 합격시킨 최고의 코딩테스트 강의!",무료
시니어 면접관이 알려주는 개발자 취업과 이직 한방에 해결하기 [이론편],"개발자 취업과 이직을 하기 위해 준비해야 할 이력서, 포트폴리오, 기술면접, 인성면접의 모든 과정을 한방에 정리한 커리어 가이드 강의입니다.
이론편에서는 나에게 맞는 회사를 찾아 채용공고를 분석하고 인터뷰와 코딩테스트를 준비하는 과정을 정리했습니다.",무료
외워서 끝내는 네트워크 핵심이론 - 기초,TCP/IP에서 HTTP까지! 네트워크에 대한 기본 이론이 부족한 분들이 '외워서'라도 전공 이론을 이해하고자 희망하는 분들을 위해 준비한 강의입니다. 할 수 있습니다!,무료
[백문이불여일타] 데이터 분석을 위한 기초 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 기초 강의.
SQL 기초 이론을 배우고, 해커랭크 문제 10개를 함께 풀어봅니다.",무료
(2024) 일주일만에 합격하는 정보처리기사 실기,"정보처리기사 실기, 단번에 합격! 코드와 이론, 핵심만 콕 집어 알려드립니다.  기출문제 완벽 정복! 체계적인 강의로 합격의 문을 여세요.",무료
"파이썬입문과 크롤링기초 부트캠프 [파이썬, 웹, 데이터 이해 기본까지] (업데이트)","데이터 과학, 빅데이터, 크롤링을 익히고자 하시는 분들을 위해,
(1) 짧은 시간안에 가장 필요한 파이썬 핵심 문법을 정리하고, (2) 실전 크롤링 프로그래밍을 통해 파이썬과 크롤링에 익숙해집니다.",무료
이해하면 인생이 바뀌는 Windows API hook,특정 응용 프로그램이 각종 API 함수들을 호출하는 과정을 가로채는 방법을 배워 보안 시스템을 개발할 수 있는 기술을 확보합니다. ※절대 악용금지!!!,무료
시니어 면접관이 알려주는 개발자 취업과 이직 한방에 해결하기 [실전편],"기술 인터뷰를 대비하기 위한 서버 확장 전략과 대용량 데이터 처리 전략, 최종 면접에서 겪는 정답이 없는 질문과 최선의 답변을 하는 방법을 질문/답변을 통해 학습합니다.",무료
[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버,"어디부터 시작할지 막막한 게임 프로그래밍 입문자를 위한 All-In-One 커리큘럼입니다.
C++, 자료구조/알고리즘, STL, 게임 수학, Windows API, 게임 서버 입문으로 이어지는
알찬 커리큘럼으로 게임 프로그래밍 기초를 폭넓게 공부합니다.",무료
"BigQuery(SQL) 활용편(퍼널 분석, 리텐션 분석)","Google Analytics 4, Firebase 데이터의 형태의 앱 로그 분석을 진행합니다. 배열, 윈도우 함수, 퍼널, 리텐션, Google Sheets 등 실무에서 사용할 때 유용한 내용들을 담았습니다.",무료
자바(Java) 알고리즘 문제풀이 입문: 코딩테스트 대비,자바(Java)로 코딩테스트를 준비하시는 분을 위한 강좌입니다. 코딩테스트에서 가장 많이 출제되는 Top 10 Topic을 다루고 있습니다. 주제와 연동하여 기초문제부터 중급문제까지 단계적으로 구성되어 있으니 차근차근 따라하시면 좋은 결과가 있을 겁니다.,무료
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료
초보자를 위한 IT 인프라의 이해,"혹시, IT 인프라(서버, 네트워크, 스토리지 등) 기술에 대해 이해를 못하여 여러움을 겪은 적은 없으신가요?
IT 인프라가 어떻게 구성되고 어떤 기술이 적용되었는지 이해하고 싶으신가요?
IT 인프라를 구성하는 다양한 기술에 대해서 설명하는 국내 유일의 강의입니다!",무료
[2024 리뉴얼] 처음하는 SQL과 데이터베이스(MySQL) 부트캠프 [입문부터 활용까지],"이 강의를 통해 SQL과 데이터베이스의 이해, SQL 문법, 실제 활용을 위한 데이터베이스 설계, 프로그래밍을 통한 데이터베이스 활용, 데이터 분석 활용 사례까지 익힐 수 있습니다.",무료
서류합격률 4%를 탈출하는 개발자 이력서 작성법,"최근 개발자의 서류 합격률은 한 자릿수에 불과합니다.
100명 이상의 이력서를 멘토링한 경험을 바탕으로, 지원자들이 놓치고 있는 이력서 작성의 치명적 실수를 분석했습니다.
이제, 합격률을 높이는 핵심 전략을 공개합니다.",무료
RAG를 활용한 LLM Application 개발 (feat. LangChain),실리콘밸리 GenAI 해커톤 우승자에게 배우는 RAG. 현업 노하우를 가득 담았습니다,무료
[2024년 출제기준] 웹디자인기능사 실기시험 완벽 가이드(HTML+CSS+JQUERY),"웹디자인기능사 출제기준(2024.1.1~2024.12.31)까지 시행되는 출제기준에 정확히 맞춘 웹디자인 기능사 실기 시험 내용에 최적화 되어 있는 실기시험 전문 강의로서, HTML+CSS+JQUERY 퍼블리싱, 코딩웍스 웹디자인 기능사 실기시험 강의는 다릅니다.
2023년도에 추가된 D유형, E유형 완벽 제작 수업영상과 2024년도에 추가된 F유형 완벽 제작 수업영상이 모두 반영되어 있습니다.",무료
Windows 시스템 프로그래밍 - 기본,"윈도우 계열 프로그래머가 될 생각이 있는 사람이라면 누구나 들어야 할 필수 강의! C/C+, 자료구조, 운영체제 이론까지 공부했나요? 그렇다면 이제는 시스템 프로그램 공부가 정답입니다. 이제부터는 실전입니다!",무료
이해하면 인생이 바뀌는 네트워크 프로그래밍,Npcap 라이브러리를 이용해서 Wireshark 같은 패킷 분석기 프로그램 및 각종 네트워크 솔루션을 직접 개발하려는 분들을 위한 강의 입니다.,무료
MFC Windows 프로그래밍 - 기본,C/C++개발자라면 누구나 시작할 수 있습니다. 핵심만 골라서 빠르게 MFC 윈도우 프로그래밍을 배울 수 있습니다. 1200페이지 분량의 교재도 드립니다.,무료
초보자를 위한 ChatGPT API 활용법 - API 기본 문법부터 12가지 프로그램 제작 배포까지,ChatGPT가 나만의 애플리케이션 안에 탑재된다면 어떨까요? 본 강의에서는 ChatGPT API를 활용하여 다양한 프로그램을 제작합니다. 기본적인 API 사용 방법부터 프로그램 제작 및 배포하는 방법까지 모든 과정을 자세하게 다룹니다.,무료
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료
외워서 끝내는 네트워크 핵심이론 - 응용,"외워서 끝내는 네트워크 핵심이론 기초과정을 학습한 분들이 한 단계 깊은 이론들을 이해할 수 있도록 안내하는 강의입니다. 인터넷 공유기의 작동 원리인 NAT 기술을 비롯해 부하분산 시스템 원리, VPN 기술 원리 등 좀 더 깊은 이론들을 다룹니다. 이 강의 역시 '외워서' 끝내는 것이 목표입니다! 할 수 있습니다!",무료
웹디자인기능사 [2024년 합격 99%] 실기전체,"전국 합격률 60%중에 우리반 합격률은 90%!
시험요구사항을 파악하면 가능합니다.
실기 책 사지마요 어려워요",무료
CPPG 자격증 취득 과정 (2024년),"CPPG 자격증 취득의 지름길 CPPG WIN 강의입니다.
최근 6회의 출제 경향을 반영한 2024년 CPPG 자격증 합격을 위한 이론 과정입니다.",무료
처음 만난 AWS,클라우드 컴퓨팅의 기초와 AWS 핵심 서비스들에 대해 이해하고 사용할 수 있습니다.,무료
쉬운 모바일 테스트 자동화 시작하기 : Appium Studio,Android 및 iOS 장치에서 테스트 자동화 개발이 궁금하신 모든 분을 위한 강의입니다. 이 강의를 통해 모바일 장치에서 자동화 테스트를 수행할 수 있게 됩니다.,무료
카프카 완벽 가이드 - 커넥트(Connect) 편,카프카 커넥트(Kafka Connect)에 대한 깊이 있는 이론 설명과 현업에서 바로 사용될 수 있는 수준의 상세한 실습을 통해 여러분을 현장에서 필요로 하는 카프카 커넥트 기반의 데이터 연동 및 데이터 파이프라인 구축 전문가로 성장시켜 드릴 것입니다.,무료
"[아파치 카프카 애플리케이션 프로그래밍] 개념부터 컨슈머, 프로듀서, 커넥트, 스트림즈까지!",실전 환경에서 사용하는 아파치 카프카 애플리케이션 프로그래밍 지식들을 모았습니다! 데이터 파이프라인을 구축하는데 핵심이 되는 아파치 카프카의 각종 기능들을 살펴보고 실습하는 시간을 가집니다.,무료
CPPG 두음 문제 자동 출제 강의,CPPG 자격증 시험에 도움이 되는 두음  5개 분야 140 두음을 제공합니다. 또한 매번 다르게 출제되는 111문제 자동 생성 도구를 통해 사용방법을 소개하고 1회및 해설 강의를 제공합니다.,무료
초보자를 위한 ChatGPT API 활용법 - API 기본 문법부터 12가지 프로그램 제작 배포까지,ChatGPT가 나만의 애플리케이션 안에 탑재된다면 어떨까요? 본 강의에서는 ChatGPT API를 활용하여 다양한 프로그램을 제작합니다. 기본적인 API 사용 방법부터 프로그램 제작 및 배포하는 방법까지 모든 과정을 자세하게 다룹니다.,무료
소프트웨어 테스팅 입문 - C++,이 강의를 통해 자신이 개발한 코드에 좀 더 자신감을 가질 수 있게 도움을 주는 테스팅 기초를 습득합니다,무료
실리콘밸리 엔지니어와 함께하는 Apache Airflow,소프트웨어 데이터 파이프라인을 만들 때 가장 많이 사용하는 Orchestrator(오케스트레이터)인 Apache Airflow(아파치 에어플로우)를 배우실 수 있습니다.,무료
비전공자를 위한 컴퓨터 구조,SW 개발자가 알아야 할 컴퓨터 구조와 동작 원리의 핵심을 그림으로 이해하기 쉽게 알려드립니다.,무료
[2024년 출제기준] 웹디자인기능사 실기시험 완벽 가이드(HTML+CSS+JQUERY),"웹디자인기능사 출제기준(2024.1.1~2024.12.31)까지 시행되는 출제기준에 정확히 맞춘 웹디자인 기능사 실기 시험 내용에 최적화 되어 있는 실기시험 전문 강의로서, HTML+CSS+JQUERY 퍼블리싱, 코딩웍스 웹디자인 기능사 실기시험 강의는 다릅니다.
2023년도에 추가된 D유형, E유형 완벽 제작 수업영상과 2024년도에 추가된 F유형 완벽 제작 수업영상이 모두 반영되어 있습니다.",무료
시작해보세요! 당신의 첫 지식공유,"예비 지식공유자 님, 어서오세요! 인프런입니다 :D 지식공유자는 인프런에서 강의를 제작하는 강사를 의미해요. 강의 주제 선정, 기획, 촬영 방법 및 편집까지 전부 알려드릴게요. 인프런에서 나누고 배우고 성장하세요!",무료
RAG를 활용한 LLM Application 개발 (feat. LangChain),실리콘밸리 GenAI 해커톤 우승자에게 배우는 RAG. 현업 노하우를 가득 담았습니다,무료
머신러닝 엔지니어가 알려주는 [아는 만큼 보이는 AI],수학과 코딩은 잘 모르지만 머신러닝의 트렌드를 파악하고 머신러닝 기술을 활용해서 프로덕트를 기획하고 싶은 분들을 위한 머신러닝 기초 강의입니다.,무료
정보처리기사 자격증 대비 교육(필기),NCS개정 정보처리기사 필기 합격을 위한 핵심요약 특강으로 CBT 필기시험과 필답형 실기시험을 효율적으로 학습 할수 있습니다.,무료
스마트 컨트랙트 이벤트 모듈 배우고 학습하기,"해당 강의에서는 Dapp을 만드는데 필수적 요소인 이벤트 캐치 모듈을 작성하는 방법에 대해서 다루고 있습니다.
블록체인 or Dapp에 대한 백엔드 개발을 하고 싶으신분이라면 많은 도움이 될 것입니다.",무료
블록체인 채굴 모듈 만들어보기,"이 강의에서는 실제로 코드를 통해 블록체인의 코어 모듈을 간접적으로 구현 합니다.이러한 과정을 통해서 블록체인이 무엇인지, 어떻게 동작하는지에 대해서 상세하게 배우실 수 있습니다.실제로 블록체인 공부를 하고, 실무에서 블록체인 관련 업무를 하고 있는 제가 느낀바로는 대부분의 강의는 이론적인 내용에 집중이 되어 있거나, 스마트컨트랙트라는 일부 기능을 사용하는데에 집중이 되어 있습니다.이런 강의와는 조금 차이를 두고 싶어서 저는 여러분들이 제 강의를 하나하나 따라하시면서 코어 모듈을 간접적으로 만들어 볼 수 있게 준비를 하였습니다.",무료
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part5: 데이터베이스,야구/회사 데이터베이스를 통해 MS-SQL를 학습하는 강의입니다.,"₩44,000"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] 번외편: AWS로 시작하는 서버 운영,"힘들게 만든 서버를 개발 환경에서만 썩힐 수는 없습니다.
본 강의는 AWS을 이용해 외부에서도 접속할 수 있도록
서버를 운영하는 방법에 대해 학습합니다.","₩44,000"
Vue.js 시작하기 - Age of Vue.js,"Vue.js로 쉽게 웹 개발할 수 있도록 기본 개념과 핵심 기능에 대해서 학습하고 구현해봅니다.
강좌를 들으시고 나면 Vue.js로 프런트엔드 개발을 하시는게 재밌어질거에요.","₩44,000"
IT 회사에서 비개발자가 살아남기 위한 모든 개발 지식 A to Z,본 강의는 멤버십 구독 개념으로 한 번 구매하면 계속 추가되는 수업도 수강할 수 있습니다😃,"₩55,000"
아무것도 모르고 시작하는 C#,C#이라는 프로그래밍 언어를 통해 비전공자 및 학생 그리고 일반인이 쉽게 프로그래밍에 흥미를 가질 수 있도록 구성하였습니다. 쉬운 표현과 따라하기를 통해 프로그래밍에 자신감을 가질 수 있는 입문자용 강의입니다.,무료
오라클 성능 분석과 인스턴스 튜닝 핵심 가이드,오라클 DB 아키텍처의 내부 메커니즘을 이해하고 성능 튜닝과 성능 분석 전문가로 성장할 수 있는 핵심 가이드를 제공합니다.,무료
리눅스 커맨드라인 툴 (Full ver.),리눅스 커맨드라인 툴에 대한 강좌 입니다. 자주 사용되는 툴을 엄선해 핵심 기능과 자주 사용되는 옵션에 대해 알려드립니다. 그리고 실습을 통해 실제로 어떻게 사용할 수 있는지 알려드립니다. 여러 가지 리눅스 툴을 잘 사용하게 된다면 리눅스가 편해집니다.  그리고 리눅스를 더 잘 이해하고 더 잘 다루게 됩니다 :),무료
리눅스 입문 - 개념으로 탄탄히!!,"리눅스의 주요 개념에 대해 공부하시면 리눅스를 더 쉽고, 더 강력하게 다루실 수 있습니다.
기초부터 탄탄히 쌓아나가시길 바랍니다!! :D",무료
리눅스 시스템 프로그래밍 - 이론과 실습,본 강좌는 주제별 이론과 프로그래밍 실습을 병행하여 학습 효과를 극대화할 수 있도록 했습니다.,무료
빠르게 git - 핵심만 골라 배우는 Git/Github,"개발자에게 버전관리는 이제 필수 지식이라고 할 수 있습니다.
기초적인 git 명령어와 Github 회원가입부터 차근차근 Git과 Github를 배워보도록 합시다 :)",무료
JIRA를 활용해 더 효과적으로 프로젝트 협업하기,"본 강의는 JIRA 를 활용해서 팀의 작업을 더 효율적으로 수행하고 싶으신 분들을 대상으로 합니다.
JIRA 를 사용하기 위한 기본 배경지식과 프로젝트 생성, 관리, Issue 등록/관리를 설명하고 Scrum, Kanban 등 애자일 기반 프로젝트 수행 lifecycle 을  이해하고 실제 업무에 활용할 수 있도록 도와드립니다.",무료
비전공 기획자 및 관리자를 위한 IT 필수 지식,"본 강의는 비전공자 분들이 알아야 할 IT 필수 지식을 실무에 꼭 필요한 수준으로 쉽게 설명하여, IT 실무의 기초를 잡고 개발자들과 쉽게 소통할 수 있도록 강의를 구성하였으며, IT 실무 중심의 용어 설명을 부록으로 추가하여 비전공 IT 입문자 분들의 바이블이 될 수 있는 강의로 준비하였습니다.",무료
작정하고 장고! Django로 Pinterest 따라만들기 : 바닥부터 배포까지,Python의 대표 웹 프레임워크 django를 이용해 Pinterest 특유의 카드형 레이아웃 디자인을 본딴 웹서비스 구현해봅니다.,무료
"코딩은 실전이다! - Git알못을 위한 깃린이코스(Git, Github 실습위주)","Git, Github 어디서부터 시작할지 막막하셨죠?🧐
가장 쉬운 이해로 소개하는 초급 Git부터 중급 Git 활용 및 협업까지의 All-in-One 코스입니다.",무료
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료
노션(Notion) 데이터베이스 - 중급편,"노션의 강력하고 편리한 데이터베이스 기능은 초보자도 손쉽게 DB를 구축할 수 있게 해줍니다. 이 강의에서는 테이블 속성 개념 이해 및 실습, 노션 데이터베이스 사용법 학습, DB 구축 방법 등을 익힙니다.",무료
노션(Notion) 데이터베이스 - 입문편,"노션의 강력하고 편리한 데이터베이스 기능은 초보자도 손쉽게 DB를 구축할 수 있게 해줍니다. 이 강의에서는 데이터베이스 개념과 관련 용어(테이블, 행, 열 등)에 대한 이해, 노션 데이터베이스의 기본적인 사용법 등을 익힙니다.",무료
두고두고 써먹는 유니티 VR,"Unity를 이용하여 VR 장비를 연동하고, VR 컨텐츠를 개발하는 방법을 배우는 VR 개발 입문 강의입니다. VR의 시장성이나 전망은 이미 많은 컨텐츠에서 접할 수 있기 때문에 굳이 다루지 않고, 실제 개발에 필요한 핵심만 추렸습니다. 쉽고 빠르게 배워서 두고두고 써먹을 수 있는 VR 개발 방법을 알고 싶다면 여기로 오세요!",무료
파이썬 라즈베리파이 IoT프로젝트-원격모니터링 자동차,이 강의에서는 라즈베리 파이와 파이썬에 대한 기초지식을 배우고 간단하지만 핵심적인 자율주행차와 원격 홈모니터링 프로젝트를 만드는 실습할 것입니다.,무료
"디지털 리터러시, 디지털 기술을 이해하고 실무에 적용하는 기술","급변하는 디지털 시대에서 살아남는 경쟁력, 디지털 리터러시! 디지털 환경의 기술 구조 이해를 기반으로 일상에 가득 찬 정보들을 내 것으로 만들어보세요.",무료
"김영한의 실전 자바 - 고급 1편, 멀티스레드와 동시성",멀티스레드와 동시성을 기초부터 실무 레벨까지 깊이있게 학습합니다.,무료
